like1,parRRR_factor,paralb_ice,paralb_snow,paralb_firn,paralbedo_aging,paralbedo_depth,paraging_factor_roughness,parroughness_fresh_snow,parroughness_ice,simulation1_1,simulation2_1,simulation2_2,simulation2_3,simulation2_4,simulation2_5,simulation2_6,simulation2_7,simulation2_8,simulation2_9,simulation2_10,simulation2_11,simulation2_12,simulation2_13,simulation2_14,simulation2_15,simulation2_16,simulation2_17,simulation2_18,simulation2_19,simulation2_20,simulation2_21,simulation2_22,simulation2_23,simulation2_24,simulation2_25,simulation2_26,simulation2_27,simulation2_28,simulation2_29,simulation2_30,simulation2_31,simulation2_32,simulation2_33,simulation2_34,simulation2_35,simulation2_36,simulation2_37,simulation2_38,simulation2_39,simulation2_40,simulation2_41,simulation2_42,simulation2_43,simulation2_44,simulation2_45,simulation2_46,simulation2_47,simulation2_48,simulation2_49,simulation2_50,simulation2_51,simulation2_52,simulation2_53,simulation2_54,simulation2_55,simulation2_56,simulation2_57,simulation2_58,simulation2_59,simulation2_60,simulation2_61,simulation2_62,chain
-8909.48,1.5895165,0.24145934,0.8325981,0.54674405,14.672425,14.6840515,0.005094306,1.7854015,3.3530772,0.38280728,0.0,0.0,0.0,0.0,0.33203125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10546875,0.0,0.0,0.0,0.05078125,0.24609375,0.19921875,0.0,0.0,0.0,0.0,0.0,0.0,0.26953125,0.27734375,0.0,0.0,0.0,0.0,0.0,0.33203125,0.0,0.0,0.0,0.0,0.0,0.28515625,0.36328125,0.36328125,0.0,0.0,0.0,0.37109375,0.0,0.0,0.38671875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19921875,0.3125,0.39453125,1.0
-4935.232,0.9270669,0.2403802,0.8307276,0.5436145,14.227879,14.128764,0.00508999,1.7008475,3.155034,-1.7555579,0.0,0.0,0.0,0.08984375,0.56640625,0.0,0.0,0.33984375,0.0,0.0,0.0,0.27734375,0.40234375,0.0,0.0,0.0,0.45703125,0.51953125,0.32421875,0.0,0.0,0.0,0.0,0.0,0.26953125,0.53515625,0.45703125,0.0,0.0,0.0,0.0,0.21484375,0.61328125,0.0,0.0,0.0,0.0,0.0,0.62109375,0.48828125,0.63671875,0.24609375,0.0,0.0,0.53515625,0.0,0.31640625,0.58203125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01171875,0.33203125,0.50390625,0.66015625,0.48046875,1.0
-38933.21,0.3973827,0.23930107,0.82885706,0.540485,13.783332,13.573477,0.005085673,1.6162935,2.956991,-4.19069,0.0,0.0,0.36328125,0.55859375,0.97265625,0.0,0.0,0.86328125,0.0,0.0,0.19140625,0.74609375,0.88671875,0.0,0.0,0.0,0.9453125,0.98046875,0.6015625,0.07421875,0.0,0.0,0.0,0.32421875,0.77734375,0.96484375,0.98046875,0.0,0.0,0.0,0.09765625,0.69921875,0.98046875,0.0,0.0,0.0,0.0,0.45703125,0.99609375,0.73828125,0.9375,0.90234375,0.0,0.0,0.9375,0.40234375,0.80078125,0.66796875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.171875,0.37109375,0.55859375,0.79296875,0.98046875,0.5,0.56640625,1.0
-3931.8599,1.0598323,0.23822193,0.8269866,0.53735554,13.338785,13.018188,0.0050813565,1.5317396,2.7589476,-1.2668123,0.0,0.0,0.0,0.0,0.49609375,0.0,0.0,0.24609375,0.0,0.0,0.0,0.21484375,0.33984375,0.0,0.0,0.0,0.40234375,0.44921875,0.28515625,0.0,0.0,0.0,0.0,0.0,0.19921875,0.45703125,0.41796875,0.0,0.0,0.0,0.0,0.13671875,0.51953125,0.0,0.0,0.0,0.0,0.0,0.51953125,0.45703125,0.55859375,0.20703125,0.0,0.0,0.48828125,0.0,0.25390625,0.55859375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23828125,0.43359375,0.59765625,0.46484375,1.0
-10668.755,1.722282,0.23714279,0.8251161,0.53422606,12.894238,12.462901,0.00507704,1.4471856,2.5609045,0.752907,0.0,0.0,0.0,0.0,0.28515625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01171875,0.0,0.0,0.0,0.0,0.19921875,0.17578125,0.0,0.0,0.0,0.0,0.0,0.0,0.23046875,0.23828125,0.0,0.0,0.0,0.0,0.0,0.28515625,0.0,0.0,0.0,0.0,0.0,0.24609375,0.30078125,0.32421875,0.0,0.0,0.0,0.33203125,0.0,0.0,0.35546875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0546875,0.28515625,0.35546875,1.0
-21786.541,2.3847315,0.23606366,0.8232456,0.5310965,12.449692,11.907613,0.0050727236,1.3626317,2.3628614,2.4281845,0.0,0.0,0.0,0.0,0.10546875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09765625,0.0,0.0,0.0,0.0,0.0,0.0,0.14453125,0.15234375,0.0,0.0,0.0,0.19140625,0.0,0.0,0.20703125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19921875,1.0
-25977.125,2.9528186,0.23498452,0.8213751,0.52796704,12.005145,11.352325,0.005068407,1.2780777,2.1648183,3.7367554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01171875,0.0,0.0,0.0390625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
-20888.781,2.290369,0.23390538,0.81950456,0.52483755,11.560598,10.797037,0.0050640902,1.1935238,1.9667751,2.1990595,0.0,0.0,0.0,0.0,0.12890625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09765625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00390625,0.0,0.0,0.0,0.0,0.0,0.13671875,0.0,0.0,0.0,0.0,0.0,0.0,0.16796875,0.19140625,0.0,0.0,0.0,0.20703125,0.0,0.0,0.22265625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22265625,1.0
-9116.669,1.6279194,0.23282625,0.81763405,0.5217081,11.116052,10.24175,0.005059774,1.1089698,1.7687318,0.4906541,0.0,0.0,0.0,0.0,0.30859375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07421875,0.0,0.0,0.0,0.01171875,0.22265625,0.19140625,0.0,0.0,0.0,0.0,0.0,0.0,0.26171875,0.26953125,0.0,0.0,0.0,0.0,0.0,0.32421875,0.0,0.0,0.0,0.0,0.0,0.28515625,0.34765625,0.35546875,0.0,0.0,0.0,0.36328125,0.0,0.0,0.37890625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19140625,0.29296875,0.37890625,1.0
-4646.229,0.9654698,0.2317471,0.81576353,0.5185785,10.671505,9.686462,0.0050554574,1.0244159,1.5706887,-1.6129318,0.0,0.0,0.0,0.0703125,0.53515625,0.0,0.0,0.28515625,0.0,0.0,0.0,0.25390625,0.38671875,0.0,0.0,0.0,0.42578125,0.49609375,0.30078125,0.0,0.0,0.0,0.0,0.0,0.24609375,0.51953125,0.45703125,0.0,0.0,0.0,0.0,0.19140625,0.6015625,0.0,0.0,0.0,0.0,0.0,0.6015625,0.47265625,0.61328125,0.23828125,0.0,0.0,0.51953125,0.0,0.30078125,0.57421875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28515625,0.47265625,0.6484375,0.47265625,1.0
