like1_1,parlr_T,parlr_RRR,parlr_RH,parRRR_factor,paralb_ice,paralb_snow,paralb_firn,paralbedo_aging,paralbedo_depth,simulation1_1,simulation1_2,simulation1_3,simulation1_4,simulation1_5,simulation1_6,simulation1_7,simulation1_8,simulation1_9,simulation1_10,simulation1_11,simulation1_12,simulation1_13,simulation1_14,simulation1_15,simulation1_16,simulation1_17,simulation1_18,simulation1_19,simulation1_20,simulation1_21,simulation1_22,simulation1_23,simulation1_24,simulation1_25,simulation1_26,simulation1_27,simulation1_28,simulation1_29,simulation1_30,simulation1_31,simulation1_32,simulation1_33,simulation1_34,simulation1_35,simulation1_36,simulation1_37,simulation1_38,simulation1_39,simulation1_40,simulation1_41,simulation1_42,simulation1_43,simulation1_44,simulation1_45,simulation1_46,simulation1_47,simulation1_48,simulation1_49,simulation1_50,simulation1_51,simulation1_52,simulation1_53,simulation1_54,simulation1_55,simulation1_56,simulation1_57,simulation1_58,simulation1_59,simulation1_60,simulation1_61,simulation1_62,simulation1_63,simulation1_64,simulation1_65,simulation1_66,simulation1_67,simulation1_68,simulation1_69,simulation1_70,simulation1_71,simulation1_72,simulation1_73,simulation1_74,simulation1_75,simulation1_76,simulation1_77,simulation1_78,simulation1_79,simulation1_80,simulation1_81,simulation1_82,simulation1_83,simulation1_84,simulation1_85,simulation1_86,simulation1_87,simulation1_88,simulation1_89,simulation1_90,simulation1_91,simulation1_92,simulation1_93,simulation1_94,simulation1_95,simulation1_96,simulation1_97,simulation1_98,simulation1_99,simulation1_100,simulation1_101,simulation1_102,simulation1_103,simulation1_104,simulation1_105,simulation1_106,simulation1_107,simulation1_108,simulation1_109,simulation1_110,simulation1_111,simulation1_112,simulation1_113,simulation1_114,simulation1_115,simulation1_116,simulation1_117,simulation1_118,simulation1_119,simulation1_120,simulation1_121,simulation1_122,simulation1_123,simulation1_124,simulation1_125,simulation1_126,simulation1_127,simulation1_128,simulation1_129,simulation1_130,simulation1_131,simulation1_132,simulation1_133,simulation1_134,simulation1_135,simulation1_136,simulation1_137,simulation1_138,simulation1_139,simulation1_140,simulation1_141,simulation1_142,simulation1_143,simulation1_144,simulation1_145,simulation1_146,simulation1_147,simulation1_148,simulation1_149,simulation1_150,simulation1_151,simulation1_152,simulation1_153,simulation1_154,simulation1_155,simulation1_156,simulation1_157,simulation1_158,simulation1_159,simulation1_160,simulation1_161,simulation1_162,simulation1_163,simulation1_164,simulation1_165,simulation1_166,simulation1_167,simulation1_168,simulation1_169,simulation1_170,simulation1_171,simulation1_172,simulation1_173,simulation1_174,simulation1_175,simulation1_176,simulation1_177,simulation1_178,simulation1_179,simulation1_180,simulation1_181,simulation1_182,simulation1_183,simulation1_184,simulation1_185,simulation1_186,simulation1_187,simulation1_188,simulation1_189,simulation1_190,simulation1_191,simulation1_192,simulation1_193,simulation1_194,simulation1_195,simulation1_196,simulation1_197,simulation1_198,simulation2_1,chain
-2.584,-0.0073,7.74e-05,0.06143,1.116,0.3416,0.778,0.5635,22.62,3.08,0.0,0.0,0.0,0.0,0.0,0.1285,0.2505,0.3157,0.3315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08936,0.2141,0.2844,0.3074,0.3567,0.3567,0.2374,0.2104,0.0,0.0,0.0,0.0,0.0,0.3567,0.3567,0.2397,0.3855,0.3892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2412,0.2673,0.3157,0.3892,0.3389,0.387,0.387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0666,0.0666,0.2207,0.3074,0.3567,0.387,0.387,0.387,0.0,0.387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08936,0.1871,0.2207,0.3372,0.3752,0.387,0.3906,0.09216,0.0666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2207,0.3584,0.3906,0.3906,0.3752,0.3906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0712,0.1681,0.2239,0.392,0.3906,0.3906,0.3906,0.3906,0.3906,0.3953,0.3953,0.0633,0.0666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0666,0.1681,0.2207,0.3892,0.3687,0.3953,0.3953,0.09216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2239,0.3315,0.38,0.3953,0.3157,0.3953,0.3953,0.2239,0.3845,0.2104,0.0,0.0,0.0,0.0,-0.2415,1.0
-2.582,-0.00617,0.000187,0.06494,1.242,0.1901,0.8213,0.4475,12.97,3.182,0.0,0.0,0.0,0.0,0.0,0.1471,0.2397,0.3315,0.352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09216,0.1871,0.2527,0.2896,0.352,0.3584,0.2104,0.2374,0.0,0.0,0.0,0.1815,0.1355,0.3584,0.3584,0.2253,0.3845,0.3845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2412,0.2793,0.3025,0.3845,0.3174,0.392,0.392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.068,0.068,0.1815,0.2207,0.3074,0.3845,0.392,0.392,0.392,0.0,0.3906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1573,0.2141,0.327,0.3584,0.3906,0.3906,0.0,0.2104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2341,0.3584,0.3906,0.3953,0.3567,0.4026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0666,0.1583,0.2239,0.3752,0.3855,0.392,0.4026,0.4026,0.4026,0.4026,0.4026,0.08844,0.068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1355,0.1871,0.3074,0.4026,0.3315,0.4102,0.4102,0.0712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2239,0.3362,0.365,0.392,0.3127,0.412,0.412,0.1992,0.3594,0.2449,0.0,0.0,0.0,0.0,-0.3162,1.0
-2.604,-0.007183,0.00011015,0.05576,1.151,0.3376,0.7676,0.5825,22.25,3.182,0.0,0.0,0.0,0.0,0.0,0.1406,0.2705,0.3315,0.347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1396,0.2151,0.2896,0.3157,0.3567,0.3594,0.3567,0.2104,0.0,0.0,0.0,0.0666,0.1396,0.365,0.3752,0.2397,0.3892,0.3906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.256,0.3074,0.3315,0.3906,0.3389,0.3906,0.3906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07263,0.095,0.1815,0.2239,0.3157,0.3752,0.3906,0.3906,0.3906,0.0,0.3906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1681,0.2141,0.2239,0.347,0.3906,0.3953,0.3953,0.09216,0.068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2239,0.3752,0.3953,0.3953,0.3567,0.3953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1396,0.1932,0.256,0.392,0.3953,0.3953,0.3953,0.3953,0.3953,0.4026,0.4026,0.08844,0.0666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.068,0.1769,0.2239,0.3752,0.3584,0.4026,0.4026,0.081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0666,0.2412,0.3362,0.3733,0.4026,0.3157,0.4026,0.4026,0.2412,0.38,0.2104,0.0,0.0,0.0,0.0,-0.28,1.0
-2.607,-0.006035,0.00012183,0.03613,1.101,0.3162,0.8555,0.5986,5.383,3.29,0.0,0.0,0.0,0.0,0.0,0.1471,0.2397,0.3074,0.3157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09216,0.1932,0.2705,0.2896,0.347,0.3567,0.2374,0.2104,0.0,0.0,0.0,0.1663,0.1406,0.3584,0.3752,0.2188,0.3892,0.3892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.256,0.2896,0.3157,0.392,0.3315,0.392,0.392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1396,0.1663,0.1871,0.2207,0.3157,0.3845,0.392,0.392,0.392,0.0,0.392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1681,0.2141,0.3362,0.3845,0.3953,0.3953,0.0,0.2104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2472,0.3855,0.3953,0.3953,0.3845,0.4026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0712,0.1681,0.2412,0.392,0.404,0.4026,0.4026,0.4026,0.4026,0.4026,0.4026,0.3132,0.0666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1396,0.2141,0.3074,0.4026,0.3687,0.4055,0.4102,0.0712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2412,0.3362,0.3687,0.404,0.3127,0.412,0.412,0.2207,0.387,0.2239,0.0,0.0,0.0,0.0,-0.2786,1.0
-2.605,-0.00532,0.0001991,0.02838,1.121,0.2861,0.875,0.476,8.65,3.12,0.0,0.0,0.0,0.0,0.0,0.1471,0.2397,0.3315,0.347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1243,0.2141,0.2462,0.2896,0.3584,0.3733,0.2207,0.2104,0.0,0.0,0.1573,0.2361,0.1243,0.3584,0.3752,0.1871,0.3845,0.392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2527,0.2896,0.3074,0.392,0.3174,0.392,0.392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.081,0.0,0.1871,0.081,0.2141,0.2472,0.3157,0.392,0.392,0.392,0.392,0.0,0.404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1681,0.2141,0.3315,0.3594,0.4026,0.4026,0.0,0.2104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2705,0.3584,0.4026,0.4026,0.3845,0.4026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1285,0.1871,0.2896,0.3892,0.4014,0.404,0.4026,0.4026,0.4102,0.412,0.412,0.2983,0.068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10474,0.1592,0.2207,0.3562,0.412,0.3584,0.421,0.4226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.081,0.256,0.3567,0.3594,0.4014,0.29,0.4226,0.4226,0.2141,0.3855,0.2239,0.0,0.0,0.0,0.0,-0.2744,1.0
-2.623,-0.006252,0.0001352,0.01686,1.119,0.3022,0.87,0.582,5.375,4.105,0.0,0.0,0.0,0.0,0.0712,0.1592,0.2487,0.3157,0.3315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1355,0.2188,0.2705,0.3025,0.3567,0.3584,0.3567,0.2449,0.0,0.0,0.0,0.1769,0.1663,0.3594,0.3752,0.2253,0.3855,0.3892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2747,0.2896,0.3213,0.3892,0.3362,0.392,0.392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1871,0.1932,0.2141,0.256,0.3157,0.3892,0.392,0.392,0.392,0.0,0.392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1173,0.1871,0.2151,0.3372,0.3845,0.392,0.392,0.0,0.2374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.256,0.3855,0.392,0.392,0.3845,0.4014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1173,0.1815,0.256,0.392,0.3994,0.4014,0.4014,0.404,0.404,0.404,0.4026,0.4026,0.2104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1243,0.1663,0.2151,0.3157,0.404,0.365,0.4026,0.4026,0.0712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10333,0.256,0.3372,0.3687,0.3928,0.3127,0.4026,0.4026,0.3025,0.4026,0.2374,0.0,0.0,0.0,0.0,-0.2708,1.0
-2.635,-0.006916,5.937e-05,0.0007343,1.19,0.3328,0.7905,0.4563,21.3,4.52,0.0,0.0,0.0,0.0,0.0,0.1769,0.2705,0.3562,0.3584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1285,0.2151,0.2844,0.3157,0.3584,0.3584,0.3584,0.2104,0.0,0.0,0.0,0.0,0.1406,0.3584,0.3584,0.2328,0.3845,0.392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.256,0.2896,0.3315,0.392,0.3315,0.392,0.392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1406,0.1769,0.1932,0.256,0.3157,0.3845,0.392,0.392,0.392,0.0,0.392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1406,0.1932,0.2207,0.3372,0.3845,0.392,0.3953,0.09216,0.2104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2472,0.3845,0.3953,0.3953,0.3567,0.4026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1285,0.1815,0.256,0.3875,0.4014,0.4026,0.4026,0.4026,0.4026,0.4026,0.4026,0.4026,0.2104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.081,0.1471,0.2141,0.2896,0.4026,0.3547,0.4026,0.4026,0.0712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09076,0.256,0.3362,0.3687,0.4026,0.3157,0.4026,0.4102,0.3157,0.4102,0.2374,0.0,0.0,0.0,0.0,-0.3018,1.0
-2.629,-0.00732,9.644e-05,0.02576,1.244,0.257,0.84,0.568,6.234,4.516,0.0,0.0,0.0,0.0,0.0,0.1769,0.2617,0.3213,0.3362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1355,0.2141,0.2747,0.2925,0.3362,0.3567,0.3567,0.2449,0.0712,0.0,0.0,0.08936,0.1494,0.3567,0.3584,0.2397,0.3845,0.3845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.256,0.2793,0.3157,0.3845,0.3362,0.3892,0.3892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1681,0.1815,0.2141,0.256,0.3157,0.3845,0.3892,0.3892,0.392,0.0,0.392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09076,0.1815,0.2151,0.3372,0.3752,0.392,0.392,0.09216,0.2374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2472,0.3594,0.392,0.392,0.3567,0.392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1173,0.1681,0.2472,0.38,0.392,0.392,0.392,0.392,0.392,0.392,0.392,0.392,0.2374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09216,0.1663,0.2188,0.2896,0.392,0.3372,0.392,0.392,0.081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0712,0.2472,0.327,0.3687,0.3855,0.3157,0.392,0.392,0.3213,0.392,0.2673,0.0,0.0,0.0,0.0,-0.2683,1.0
-2.633,-0.00733,0.000147,0.006866,1.261,0.2157,0.862,0.511,7.293,3.236,0.0,0.0,0.0,0.0,0.081,0.1815,0.2617,0.3213,0.3372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1471,0.2188,0.2747,0.31,0.3372,0.3584,0.2412,0.2673,0.0,0.0,0.0712,0.1573,0.1769,0.3584,0.3584,0.2435,0.3594,0.3845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0712,0.2747,0.2776,0.3025,0.3845,0.3362,0.3845,0.3845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0666,0.0,0.1871,0.175,0.2141,0.2705,0.3157,0.3845,0.3845,0.3855,0.3855,0.0,0.3892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1173,0.1815,0.2141,0.3372,0.3584,0.3892,0.392,0.1173,0.2104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.081,0.2527,0.3584,0.392,0.392,0.3567,0.392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1406,0.1871,0.268,0.3584,0.3875,0.3892,0.392,0.392,0.392,0.392,0.392,0.3892,0.1992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0712,0.1471,0.1681,0.2341,0.3157,0.392,0.3372,0.392,0.392,0.081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1243,0.268,0.3362,0.3687,0.3855,0.3157,0.392,0.392,0.2527,0.3594,0.2207,0.0,0.0,0.0,0.0,-0.2306,1.0
-2.633,-0.007313,0.0001136,0.03818,1.241,0.2417,0.8096,0.4314,17.25,4.51,0.0,0.0,0.0,0.0,0.0,0.1592,0.2527,0.3362,0.3547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1243,0.2141,0.2617,0.2896,0.3547,0.3584,0.3584,0.2673,0.0712,0.0,0.0,0.1173,0.1494,0.3584,0.3584,0.2397,0.3584,0.3752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.256,0.2776,0.3025,0.3752,0.3372,0.3845,0.3845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1573,0.1681,0.1871,0.2239,0.3157,0.3584,0.3845,0.3845,0.3845,0.0,0.3892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09076,0.1815,0.2141,0.3372,0.3584,0.392,0.392,0.09216,0.2104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2397,0.3594,0.392,0.392,0.3567,0.392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1285,0.1769,0.2462,0.3594,0.3892,0.392,0.392,0.392,0.392,0.392,0.392,0.392,0.2374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0712,0.1592,0.2043,0.2896,0.392,0.3389,0.392,0.392,0.081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0712,0.2239,0.3315,0.367,0.3892,0.3157,0.392,0.392,0.3372,0.392,0.3372,0.0,0.0,0.0,0.0,-0.2688,1.0
