like1_1,parRRR_factor,paralb_ice,paralb_snow,paralb_firn,paralbedo_aging,paralbedo_depth,parcenter_snow_transfer_function,parspread_snow_transfer_function,parroughness_fresh_snow,parroughness_ice,simulation1_1,simulation1_2,simulation1_3,simulation1_4,simulation1_5,simulation1_6,simulation1_7,simulation1_8,simulation1_9,simulation1_10,simulation1_11,simulation1_12,simulation1_13,simulation1_14,simulation1_15,simulation1_16,simulation1_17,simulation1_18,simulation1_19,simulation1_20,simulation1_21,simulation1_22,simulation1_23,simulation1_24,simulation1_25,simulation1_26,simulation1_27,simulation1_28,simulation1_29,simulation1_30,simulation1_31,simulation1_32,simulation1_33,simulation1_34,simulation1_35,simulation1_36,simulation1_37,simulation1_38,simulation1_39,simulation1_40,simulation1_41,simulation1_42,simulation1_43,simulation1_44,simulation1_45,simulation1_46,simulation1_47,simulation1_48,simulation1_49,simulation1_50,simulation1_51,simulation1_52,simulation1_53,simulation1_54,simulation1_55,simulation1_56,simulation1_57,simulation1_58,simulation1_59,simulation1_60,simulation1_61,simulation1_62,simulation2_1,chain
-105.06,1.092,0.244,0.9385,0.4248,6.57,5.195,-0.4783,2.908,3.418,0.576,0.0,0.0,0.0,0.02379,0.4968,0.0,0.0,0.4404,0.0,0.0,0.0,0.002028,0.2961,0.0702,0.0,0.0,0.1161,0.277,0.4302,0.0,0.0,0.0,0.0,0.3794,0.519,0.1836,0.0,0.0,0.0,0.0,0.0,0.0,0.4807,0.0,0.0,0.0,0.0,0.0,0.4285,0.557,0.5645,0.0,0.0,0.0,0.3396,0.3276,0.4285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1348,0.384,0.2656,0.614,0.3125,-0.9585,1.0
-103.0,1.092,0.244,0.9404,0.4248,6.57,5.195,-0.4783,2.908,3.418,5.02,0.0,0.0,0.0,0.02379,0.4968,0.0,0.0,0.4404,0.0,0.0,0.0,0.002028,0.2961,0.0702,0.0,0.0,0.1161,0.259,0.4302,0.0,0.0,0.0,0.0,0.3333,0.519,0.1836,0.0,0.0,0.0,0.0,0.0,0.0,0.4807,0.0,0.0,0.0,0.0,0.0,0.4285,0.557,0.5645,0.0,0.0,0.0,0.3396,0.3276,0.4285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1348,0.384,0.2656,0.614,0.3125,-1.171,1.0
-103.25,1.092,0.244,0.9404,0.4248,6.57,5.195,-0.4783,2.908,3.418,6.99,0.0,0.0,0.0,0.02379,0.4968,0.0,0.0,0.4404,0.0,0.0,0.0,0.002028,0.2961,0.0702,0.0,0.0,0.1161,0.259,0.4302,0.0,0.0,0.0,0.0,0.3333,0.519,0.1836,0.0,0.0,0.0,0.0,0.0,0.0,0.4807,0.0,0.0,0.0,0.0,0.0,0.4285,0.557,0.5645,0.0,0.0,0.0,0.3396,0.3276,0.4285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1348,0.384,0.2656,0.614,0.3125,-1.226,1.0
-103.25,1.092,0.244,0.9404,0.4248,6.57,5.195,-0.4783,2.893,3.418,6.99,0.0,0.0,0.0,0.02379,0.4968,0.0,0.0,0.4404,0.0,0.0,0.0,0.002028,0.2961,0.0702,0.0,0.0,0.1161,0.259,0.4302,0.0,0.0,0.0,0.0,0.3333,0.519,0.1836,0.0,0.0,0.0,0.0,0.0,0.0,0.4807,0.0,0.0,0.0,0.0,0.0,0.4285,0.557,0.5645,0.0,0.0,0.0,0.3396,0.3276,0.4285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1348,0.384,0.2656,0.614,0.3125,-1.225,1.0
-103.9,1.092,0.244,0.9453,0.4026,6.57,5.863,-0.4902,2.85,2.514,2.115,0.0,0.0,0.0,0.02379,0.4968,0.0,0.0,0.4404,0.0,0.0,0.0,0.02379,0.2961,0.0702,0.0,0.0,0.1161,0.277,0.4302,0.0,0.0,0.0,0.0,0.3794,0.519,0.1837,0.0,0.0,0.0,0.0,0.0,0.0,0.4807,0.0,0.0,0.0,0.0,0.0,0.4285,0.557,0.5645,0.0,0.0,0.0,0.3396,0.3276,0.4285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1348,0.3743,0.2656,0.614,0.3125,-1.072,1.0
-103.94,1.092,0.2722,0.9453,0.4026,6.57,5.863,-0.4902,2.85,2.514,2.115,0.0,0.0,0.0,0.02379,0.4968,0.0,0.0,0.4404,0.0,0.0,0.0,0.02379,0.2961,0.0702,0.0,0.0,0.1161,0.2683,0.4302,0.0,0.0,0.0,0.0,0.3794,0.519,0.1837,0.0,0.0,0.0,0.0,0.0,0.0,0.4807,0.0,0.0,0.0,0.0,0.0,0.4285,0.557,0.5645,0.0,0.0,0.0,0.3396,0.3276,0.4285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1348,0.3743,0.2656,0.614,0.3125,-1.015,1.0
-104.6,1.092,0.244,0.9404,0.4026,6.57,3.11,-0.4902,2.832,2.514,6.99,0.0,0.0,0.0,0.02379,0.4844,0.0,0.0,0.4404,0.0,0.0,0.0,0.02379,0.2961,0.0702,0.0,0.0,0.1161,0.277,0.4302,0.0,0.0,0.0,0.0,0.3794,0.519,0.1753,0.0,0.0,0.0,0.0,0.0,0.0,0.4807,0.0,0.0,0.0,0.0,0.0,0.4285,0.557,0.5645,0.0,0.0,0.0,0.3396,0.3333,0.4285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1348,0.384,0.2656,0.614,0.3125,-1.218,1.0
-105.2,1.092,0.3708,0.925,0.4636,5.08,5.195,-0.3193,2.703,3.418,5.215,0.0,0.0,0.0,0.05817,0.4705,0.0,0.0,0.4302,0.0,0.0,0.0,0.002028,0.2825,0.0702,0.0,0.0,0.1161,0.277,0.4302,0.0,0.0,0.0,0.0,0.3125,0.519,0.1836,0.0,0.0,0.0,0.0,0.0,0.0,0.4807,0.0,0.0,0.0,0.0,0.0,0.4285,0.557,0.593,0.0,0.0,0.0,0.3125,0.3333,0.4285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12054,0.384,0.2417,0.614,0.298,-0.961,1.0
-105.2,1.092,0.3708,0.925,0.4636,5.08,5.195,-0.3193,2.705,3.418,5.215,0.0,0.0,0.0,0.05817,0.4705,0.0,0.0,0.4302,0.0,0.0,0.0,0.002028,0.2825,0.0702,0.0,0.0,0.1161,0.277,0.4302,0.0,0.0,0.0,0.0,0.3125,0.519,0.1836,0.0,0.0,0.0,0.0,0.0,0.0,0.4807,0.0,0.0,0.0,0.0,0.0,0.4285,0.557,0.593,0.0,0.0,0.0,0.3125,0.3333,0.4285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12054,0.384,0.2417,0.614,0.298,-0.961,1.0
-105.75,1.092,0.3098,0.9414,0.4026,6.57,7.348,-0.4902,2.85,2.36,5.785,0.0,0.0,0.0,0.02379,0.514,0.0,0.0,0.4404,0.0,0.0,0.0,0.02379,0.2961,0.0702,0.0,0.0,0.1161,0.2683,0.4302,0.0,0.0,0.0,0.0,0.3794,0.519,0.1837,0.0,0.0,0.0,0.0,0.0,0.0,0.4807,0.0,0.0,0.0,0.0,0.0,0.4285,0.557,0.593,0.0,0.0,0.0,0.3396,0.3276,0.4285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1348,0.3743,0.2656,0.614,0.3125,-1.089,1.0
-105.75,1.092,0.244,0.939,0.4026,6.57,3.11,-0.4902,2.832,2.514,1.598,0.0,0.0,0.0,0.02379,0.4912,0.0,0.0,0.4404,0.0,0.0,0.0,0.02379,0.2961,0.0702,0.0,0.0,0.1161,0.277,0.4302,0.0,0.0,0.0,0.0,0.3794,0.519,0.1753,0.0,0.0,0.0,0.0,0.0,0.0,0.4807,0.0,0.0,0.0,0.0,0.0,0.4285,0.557,0.593,0.0,0.0,0.0,0.3396,0.3333,0.4285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1348,0.384,0.2656,0.614,0.3125,-1.028,1.0
-105.75,1.092,0.244,0.939,0.4026,6.57,3.11,-0.4902,2.832,2.514,2.115,0.0,0.0,0.0,0.02379,0.4912,0.0,0.0,0.4404,0.0,0.0,0.0,0.02379,0.2961,0.0702,0.0,0.0,0.1161,0.277,0.4302,0.0,0.0,0.0,0.0,0.3794,0.519,0.1753,0.0,0.0,0.0,0.0,0.0,0.0,0.4807,0.0,0.0,0.0,0.0,0.0,0.4285,0.557,0.593,0.0,0.0,0.0,0.3396,0.3333,0.4285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1348,0.384,0.2656,0.614,0.3125,-1.058,1.0
-106.1,1.092,0.2214,0.9326,0.443,5.08,3.916,-0.3193,2.705,2.297,6.48,0.0,0.0,0.0,0.05817,0.4705,0.0,0.0,0.4302,0.0,0.0,0.0,0.002028,0.277,0.0702,0.0,0.0,0.1161,0.2683,0.4285,0.0,0.0,0.0,0.0,0.3242,0.519,0.1836,0.0,0.0,0.0,0.0,0.0,0.0,0.4807,0.0,0.0,0.0,0.0,0.0,0.4285,0.557,0.593,0.0,0.0,0.0,0.3208,0.3333,0.4285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12054,0.384,0.2417,0.614,0.298,-1.239,1.0
-106.0,1.092,0.244,0.939,0.4026,6.57,3.72,-0.4902,2.832,2.514,2.115,0.0,0.0,0.0,0.02379,0.4968,0.0,0.0,0.4404,0.0,0.0,0.0,0.02379,0.2961,0.0702,0.0,0.0,0.1161,0.277,0.4302,0.0,0.0,0.0,0.0,0.3794,0.519,0.1836,0.0,0.0,0.0,0.0,0.0,0.0,0.4807,0.0,0.0,0.0,0.0,0.0,0.4285,0.557,0.593,0.0,0.0,0.0,0.3396,0.3333,0.4285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1348,0.384,0.2656,0.614,0.3125,-1.069,1.0
-106.06,1.092,0.2461,0.925,0.4429,5.08,3.916,-0.3193,2.705,2.297,6.48,0.0,0.0,0.0,0.05817,0.4705,0.0,0.0,0.4302,0.0,0.0,0.0,0.002028,0.2825,0.0702,0.0,0.0,0.1161,0.277,0.4302,0.0,0.0,0.0,0.0,0.3242,0.519,0.1836,0.0,0.0,0.0,0.0,0.0,0.0,0.4807,0.0,0.0,0.0,0.0,0.0,0.4285,0.557,0.593,0.0,0.0,0.0,0.3208,0.3337,0.4285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12054,0.384,0.2417,0.614,0.298,-1.228,1.0
-106.06,1.092,0.2461,0.925,0.4429,5.08,3.916,-0.3193,2.705,2.297,6.48,0.0,0.0,0.0,0.05817,0.4705,0.0,0.0,0.4302,0.0,0.0,0.0,0.002028,0.2825,0.0702,0.0,0.0,0.1161,0.277,0.4302,0.0,0.0,0.0,0.0,0.3242,0.519,0.1836,0.0,0.0,0.0,0.0,0.0,0.0,0.4807,0.0,0.0,0.0,0.0,0.0,0.4285,0.557,0.593,0.0,0.0,0.0,0.3208,0.3337,0.4285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12054,0.384,0.2417,0.614,0.298,-1.228,1.0
