like1_1,parRRR_factor,paralb_ice,paralb_snow,paralb_firn,paralbedo_aging,paralbedo_depth,parcenter_snow_transfer_function,parspread_snow_transfer_function,parroughness_fresh_snow,parroughness_ice,simulation1_1,simulation1_2,simulation1_3,simulation1_4,simulation1_5,simulation1_6,simulation1_7,simulation1_8,simulation1_9,simulation1_10,simulation1_11,simulation1_12,simulation1_13,simulation1_14,simulation1_15,simulation1_16,simulation1_17,simulation1_18,simulation1_19,simulation1_20,simulation1_21,simulation1_22,simulation1_23,simulation1_24,simulation1_25,simulation1_26,simulation1_27,simulation1_28,simulation1_29,simulation1_30,simulation1_31,simulation1_32,simulation1_33,simulation1_34,simulation1_35,simulation1_36,simulation1_37,simulation1_38,simulation1_39,simulation1_40,simulation1_41,simulation1_42,simulation1_43,simulation1_44,simulation1_45,simulation1_46,simulation1_47,simulation1_48,simulation1_49,simulation1_50,simulation1_51,simulation1_52,simulation1_53,simulation1_54,simulation1_55,simulation1_56,simulation1_57,simulation1_58,simulation1_59,simulation1_60,simulation1_61,simulation1_62,simulation2_1,chain
-142.75215,1.092,0.244,0.9385,0.4248,6.57,5.195,-0.4783,2.908,3.418,0.576,0.0,0.0,0.0,0.09192248,0.5556297,0.0,0.0,0.31364483,0.0,0.0,0.0,0.1835539,0.4009196,0.0,0.0,0.0,0.43020055,0.51908755,0.40179446,0.0,0.0,0.0,0.0,0.0,0.1835539,0.5089156,0.4580056,0.0,0.0,0.0,0.0,0.09192248,0.5571127,0.0,0.0,0.0,0.0,0.0,0.5644028,0.5520417,0.59488,0.27135524,0.0,0.0,0.5329348,0.0,0.2243551,0.5707088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058158096,0.2780329,0.48243654,0.6135471,0.29135105,-0.9307016,1.0
-142.71227,1.092,0.244,0.9404,0.4248,6.57,5.195,-0.4783,2.908,3.418,5.02,0.0,0.0,0.0,0.09192248,0.5556297,0.0,0.0,0.31364483,0.0,0.0,0.0,0.1835539,0.4009196,0.0,0.0,0.0,0.43020055,0.51908755,0.40179446,0.0,0.0,0.0,0.0,0.0,0.1835539,0.5089156,0.4580056,0.0,0.0,0.0,0.0,0.09192248,0.5571127,0.0,0.0,0.0,0.0,0.0,0.5644028,0.5520417,0.59488,0.27135524,0.0,0.0,0.5329348,0.0,0.2243551,0.5707088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058158096,0.2780329,0.48243654,0.6135471,0.29135105,-1.1414005,1.0
-142.91602,1.092,0.244,0.9404,0.4248,6.57,5.195,-0.4783,2.908,3.418,6.99,0.0,0.0,0.0,0.09192248,0.5556297,0.0,0.0,0.31364483,0.0,0.0,0.0,0.1835539,0.4009196,0.0,0.0,0.0,0.43020055,0.51908755,0.40179446,0.0,0.0,0.0,0.0,0.0,0.1835539,0.5089156,0.4580056,0.0,0.0,0.0,0.0,0.09192248,0.5571127,0.0,0.0,0.0,0.0,0.0,0.5644028,0.5520417,0.59488,0.27135524,0.0,0.0,0.5329348,0.0,0.2243551,0.5707088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058158096,0.2780329,0.48243654,0.6135471,0.29135105,-1.196323,1.0
-142.9096,1.092,0.244,0.9404,0.4248,6.57,5.195,-0.4783,2.893,3.418,6.99,0.0,0.0,0.0,0.09192248,0.5556297,0.0,0.0,0.31364483,0.0,0.0,0.0,0.1835539,0.4009196,0.0,0.0,0.0,0.43020055,0.51908755,0.40179446,0.0,0.0,0.0,0.0,0.0,0.1835539,0.5089156,0.4580056,0.0,0.0,0.0,0.0,0.09192248,0.5571127,0.0,0.0,0.0,0.0,0.0,0.5644028,0.5520417,0.59488,0.27135524,0.0,0.0,0.5329348,0.0,0.2243551,0.5707088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058158096,0.2780329,0.48243654,0.6135471,0.29135105,-1.1948974,1.0
-143.98834,1.092,0.244,0.9453,0.4026,6.57,5.863,-0.4902,2.85,2.514,2.115,0.0,0.0,0.0,0.09192248,0.5556297,0.0,0.0,0.31364483,0.0,0.0,0.0,0.1835539,0.4009196,0.0,0.0,0.0,0.43020055,0.51908755,0.40179446,0.0,0.0,0.0,0.0,0.0,0.1835539,0.5089156,0.4760238,0.0,0.0,0.0,0.0,0.09192248,0.5571127,0.0,0.0,0.0,0.0,0.0,0.5644028,0.5520417,0.59488,0.29355082,0.0,0.0,0.5329348,0.0,0.2243551,0.5707088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058158096,0.26442125,0.48243654,0.6135471,0.29135105,-1.0424762,1.0
-143.28003,1.092,0.2722,0.9453,0.4026,6.57,5.863,-0.4902,2.85,2.514,2.115,0.0,0.0,0.0,0.09192248,0.5556297,0.0,0.0,0.31364483,0.0,0.0,0.0,0.1835539,0.4009196,0.0,0.0,0.0,0.43020055,0.51908755,0.40179446,0.0,0.0,0.0,0.0,0.0,0.1835539,0.5089156,0.4580056,0.0,0.0,0.0,0.0,0.09192248,0.5571127,0.0,0.0,0.0,0.0,0.0,0.5644028,0.5520417,0.59488,0.28774703,0.0,0.0,0.5329348,0.0,0.2243551,0.5707088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058158096,0.26442125,0.48243654,0.6135471,0.29135105,-0.9856116,1.0
-140.84785,1.092,0.244,0.9404,0.4026,6.57,3.11,-0.4902,2.832,2.514,6.99,0.0,0.0,0.0,0.09192248,0.5556297,0.0,0.0,0.31364483,0.0,0.0,0.0,0.1835539,0.4009196,0.0,0.0,0.0,0.46735063,0.51908755,0.3973087,0.0,0.0,0.0,0.0,0.0,0.18365814,0.48243654,0.2589163,0.0,0.0,0.0,0.0,0.09192248,0.5571127,0.0,0.0,0.0,0.0,0.0,0.5925788,0.534237,0.59488,0.19346675,0.0,0.0,0.51784885,0.0,0.2243551,0.5707088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058158096,0.26442125,0.48243654,0.6135471,0.29135105,-1.1869857,1.0
-147.95961,1.092,0.3708,0.925,0.4636,5.08,5.195,-0.3193,2.703,3.418,5.215,0.0,0.0,0.0,0.058158096,0.5556297,0.0,0.0,0.3159818,0.0,0.0,0.0,0.1835539,0.4009196,0.0,0.0,0.0,0.43020055,0.51908755,0.35134774,0.0,0.0,0.0,0.0,0.0,0.18365814,0.5089156,0.39531338,0.0,0.0,0.0,0.0,0.09192248,0.5925788,0.0,0.0,0.0,0.0,0.0,0.5925788,0.534237,0.59488,0.2425245,0.0,0.0,0.51784885,0.0,0.24563666,0.5632367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.044016067,0.2962023,0.48243654,0.6135471,0.2810185,-0.93428886,1.0
-147.95952,1.092,0.3708,0.925,0.4636,5.08,5.195,-0.3193,2.705,3.418,5.215,0.0,0.0,0.0,0.058158096,0.5556297,0.0,0.0,0.3159818,0.0,0.0,0.0,0.1835539,0.4009196,0.0,0.0,0.0,0.43020055,0.51908755,0.35134774,0.0,0.0,0.0,0.0,0.0,0.18365814,0.5089156,0.39531338,0.0,0.0,0.0,0.0,0.09192248,0.5925788,0.0,0.0,0.0,0.0,0.0,0.5925788,0.534237,0.59488,0.2425245,0.0,0.0,0.51784885,0.0,0.24563666,0.5632367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.044016067,0.2962023,0.48243654,0.6135471,0.2810185,-0.93431973,1.0
-144.69676,1.092,0.3098,0.9414,0.4026,6.57,7.348,-0.4902,2.85,2.36,5.785,0.0,0.0,0.0,0.09192248,0.5556297,0.0,0.0,0.31364483,0.0,0.0,0.0,0.1835539,0.4009196,0.0,0.0,0.0,0.46735063,0.51908755,0.40179446,0.0,0.0,0.0,0.0,0.0,0.1835539,0.5089156,0.48050955,0.0,0.0,0.0,0.0,0.09192248,0.5571127,0.0,0.0,0.0,0.0,0.0,0.5644028,0.5520417,0.59488,0.29355082,0.0,0.0,0.5329348,0.0,0.2243551,0.5707088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058158096,0.26442125,0.48243654,0.6135471,0.29135105,-1.0588992,1.0
