like1_1,parRRR_factor,paralb_ice,paralb_snow,paralb_firn,paralbedo_aging,paralbedo_depth,parcenter_snow_transfer_function,parspread_snow_transfer_function,parroughness_fresh_snow,parroughness_ice,simulation1_1,simulation1_2,simulation1_3,simulation1_4,simulation1_5,simulation1_6,simulation1_7,simulation1_8,simulation1_9,simulation1_10,simulation1_11,simulation1_12,simulation1_13,simulation1_14,simulation1_15,simulation1_16,simulation1_17,simulation1_18,simulation1_19,simulation1_20,simulation1_21,simulation1_22,simulation1_23,simulation1_24,simulation1_25,simulation1_26,simulation1_27,simulation1_28,simulation1_29,simulation1_30,simulation1_31,simulation1_32,simulation1_33,simulation1_34,simulation1_35,simulation1_36,simulation1_37,simulation1_38,simulation1_39,simulation1_40,simulation1_41,simulation1_42,simulation1_43,simulation1_44,simulation1_45,simulation1_46,simulation1_47,simulation1_48,simulation1_49,simulation1_50,simulation1_51,simulation1_52,simulation1_53,simulation1_54,simulation1_55,simulation1_56,simulation1_57,simulation1_58,simulation1_59,simulation1_60,simulation1_61,simulation1_62,simulation2_1,chain
-135.94385,1.092,0.244,0.9385,0.4248,6.57,5.195,-0.4783,2.908,3.418,0.576,0.0,0.0,0.0,0.10714286,0.48809522,0.0,0.0,0.29761904,0.0,0.0,0.0,0.17857143,0.39285713,0.0,0.0,0.0,0.41666666,0.4642857,0.3690476,0.0,0.0,0.0,0.0,0.0,0.20238096,0.44047618,0.3452381,0.0,0.0,0.0,0.0,0.083333336,0.53571427,0.0,0.0,0.0,0.0,0.0,0.53571427,0.5595238,0.5595238,0.22619048,0.0,0.0,0.53571427,0.0,0.25,0.5833333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011904762,0.27380952,0.41666666,0.5833333,0.2857143,-0.7879634,1.0
-135.02925,1.092,0.244,0.9404,0.4248,6.57,5.195,-0.4783,2.908,3.418,5.02,0.0,0.0,0.0,0.10714286,0.48809522,0.0,0.0,0.29761904,0.0,0.0,0.0,0.17857143,0.39285713,0.0,0.0,0.0,0.41666666,0.4642857,0.3690476,0.0,0.0,0.0,0.0,0.0,0.20238096,0.44047618,0.3452381,0.0,0.0,0.0,0.0,0.083333336,0.53571427,0.0,0.0,0.0,0.0,0.0,0.53571427,0.5595238,0.5595238,0.22619048,0.0,0.0,0.53571427,0.0,0.25,0.5833333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011904762,0.27380952,0.41666666,0.5833333,0.2857143,-0.9926521,1.0
-134.99295,1.092,0.244,0.9404,0.4248,6.57,5.195,-0.4783,2.908,3.418,6.99,0.0,0.0,0.0,0.10714286,0.48809522,0.0,0.0,0.29761904,0.0,0.0,0.0,0.17857143,0.39285713,0.0,0.0,0.0,0.41666666,0.4642857,0.3690476,0.0,0.0,0.0,0.0,0.0,0.20238096,0.44047618,0.3452381,0.0,0.0,0.0,0.0,0.083333336,0.53571427,0.0,0.0,0.0,0.0,0.0,0.53571427,0.5595238,0.5595238,0.22619048,0.0,0.0,0.53571427,0.0,0.25,0.5833333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011904762,0.27380952,0.41666666,0.5833333,0.2857143,-1.0460079,1.0
-134.99294,1.092,0.244,0.9404,0.4248,6.57,5.195,-0.4783,2.893,3.418,6.99,0.0,0.0,0.0,0.10714286,0.48809522,0.0,0.0,0.29761904,0.0,0.0,0.0,0.17857143,0.39285713,0.0,0.0,0.0,0.41666666,0.4642857,0.3690476,0.0,0.0,0.0,0.0,0.0,0.20238096,0.44047618,0.3452381,0.0,0.0,0.0,0.0,0.083333336,0.53571427,0.0,0.0,0.0,0.0,0.0,0.53571427,0.5595238,0.5595238,0.22619048,0.0,0.0,0.53571427,0.0,0.25,0.5833333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011904762,0.27380952,0.41666666,0.5833333,0.2857143,-1.0458809,1.0
-136.01945,1.092,0.244,0.9453,0.4026,6.57,5.863,-0.4902,2.85,2.514,2.115,0.0,0.0,0.0,0.10714286,0.48809522,0.0,0.0,0.29761904,0.0,0.0,0.0,0.17857143,0.41666666,0.0,0.0,0.0,0.41666666,0.4642857,0.3690476,0.0,0.0,0.0,0.0,0.0,0.20238096,0.44047618,0.3452381,0.0,0.0,0.0,0.0,0.083333336,0.53571427,0.0,0.0,0.0,0.0,0.0,0.53571427,0.5595238,0.5595238,0.25,0.0,0.0,0.53571427,0.0,0.25,0.5833333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011904762,0.27380952,0.41666666,0.5833333,0.2857143,-0.89384186,1.0
-136.27325,1.092,0.2722,0.9453,0.4026,6.57,5.863,-0.4902,2.85,2.514,2.115,0.0,0.0,0.0,0.10714286,0.48809522,0.0,0.0,0.29761904,0.0,0.0,0.0,0.17857143,0.41666666,0.0,0.0,0.0,0.41666666,0.4642857,0.3690476,0.0,0.0,0.0,0.0,0.0,0.20238096,0.44047618,0.3452381,0.0,0.0,0.0,0.0,0.083333336,0.53571427,0.0,0.0,0.0,0.0,0.0,0.53571427,0.5595238,0.5595238,0.25,0.0,0.0,0.53571427,0.0,0.25,0.5833333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011904762,0.27380952,0.41666666,0.5833333,0.2857143,-0.84403485,1.0
-130.638,1.092,0.244,0.9404,0.4026,6.57,3.11,-0.4902,2.832,2.514,6.99,0.0,0.0,0.0,0.10714286,0.48809522,0.0,0.0,0.29761904,0.0,0.0,0.0,0.17857143,0.41666666,0.0,0.0,0.0,0.41666666,0.4642857,0.3452381,0.0,0.0,0.0,0.0,0.0,0.20238096,0.44047618,0.27380952,0.0,0.0,0.0,0.0,0.083333336,0.53571427,0.0,0.0,0.0,0.0,0.0,0.53571427,0.53571427,0.5595238,0.20238096,0.0,0.0,0.5119048,0.0,0.25,0.5833333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011904762,0.25,0.41666666,0.5833333,0.2857143,-1.0425828,1.0
-122.6296,1.092,0.3708,0.925,0.4636,5.08,5.195,-0.3193,2.703,3.418,5.215,0.0,0.0,0.0,0.10714286,0.48809522,0.0,0.0,0.29761904,0.0,0.0,0.0,0.17857143,0.39285713,0.0,0.0,0.0,0.41666666,0.4642857,0.3452381,0.0,0.0,0.0,0.0,0.0,0.20238096,0.44047618,0.29761904,0.0,0.0,0.0,0.0,0.10714286,0.53571427,0.0,0.0,0.0,0.0,0.0,0.53571427,0.53571427,0.5595238,0.20238096,0.0,0.0,0.5119048,0.0,0.22619048,0.5595238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.035714287,0.27380952,0.44047618,0.5595238,0.27380952,-0.80375504,1.0
-122.629776,1.092,0.3708,0.925,0.4636,5.08,5.195,-0.3193,2.705,3.418,5.215,0.0,0.0,0.0,0.10714286,0.48809522,0.0,0.0,0.29761904,0.0,0.0,0.0,0.17857143,0.39285713,0.0,0.0,0.0,0.41666666,0.4642857,0.3452381,0.0,0.0,0.0,0.0,0.0,0.20238096,0.44047618,0.29761904,0.0,0.0,0.0,0.0,0.10714286,0.53571427,0.0,0.0,0.0,0.0,0.0,0.53571427,0.53571427,0.5595238,0.20238096,0.0,0.0,0.5119048,0.0,0.22619048,0.5595238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.035714287,0.27380952,0.44047618,0.5595238,0.27380952,-0.80373013,1.0
-135.92558,1.092,0.3098,0.9414,0.4026,6.57,7.348,-0.4902,2.85,2.36,5.785,0.0,0.0,0.0,0.10714286,0.48809522,0.0,0.0,0.29761904,0.0,0.0,0.0,0.17857143,0.41666666,0.0,0.0,0.0,0.41666666,0.4642857,0.3690476,0.0,0.0,0.0,0.0,0.0,0.20238096,0.44047618,0.3452381,0.0,0.0,0.0,0.0,0.083333336,0.53571427,0.0,0.0,0.0,0.0,0.0,0.53571427,0.5595238,0.5595238,0.25,0.0,0.0,0.53571427,0.0,0.25,0.5833333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011904762,0.27380952,0.41666666,0.5833333,0.2857143,-0.9171804,1.0
