like1,parlr_T,parlr_RRR,parlr_RH,parRRR_factor,paralb_ice,paralb_snow,paralb_firn,paralbedo_aging,paralbedo_depth,simulation_0,simulation_1,simulation_2,simulation_3,simulation_4,simulation_5,simulation_6,simulation_7,simulation_8,simulation_9,simulation_10,simulation_11,simulation_12,simulation_13,simulation_14,simulation_15,simulation_16,simulation_17,simulation_18,simulation_19,simulation_20,simulation_21,simulation_22,simulation_23,simulation_24,simulation_25,simulation_26,simulation_27,simulation_28,simulation_29,simulation_30,simulation_31,simulation_32,simulation_33,simulation_34,simulation_35,simulation_36,simulation_37,simulation_38,simulation_39,simulation_40,simulation_41,simulation_42,simulation_43,simulation_44,simulation_45,simulation_46,simulation_47,simulation_48,simulation_49,simulation_50,simulation_51,simulation_52,simulation_53,simulation_54,simulation_55,simulation_56,simulation_57,simulation_58,simulation_59,simulation_60,simulation_61,simulation_62,simulation_63,simulation_64,simulation_65,simulation_66,simulation_67,simulation_68,simulation_69,simulation_70,simulation_71,simulation_72,simulation_73,simulation_74,simulation_75,simulation_76,simulation_77,simulation_78,simulation_79,simulation_80,simulation_81,simulation_82,simulation_83,simulation_84,simulation_85,simulation_86,simulation_87,simulation_88,simulation_89,simulation_90,simulation_91,simulation_92,simulation_93,simulation_94,simulation_95,simulation_96,simulation_97,simulation_98,simulation_99,simulation_100,simulation_101,simulation_102,simulation_103,simulation_104,simulation_105,simulation_106,simulation_107,simulation_108,simulation_109,simulation_110,simulation_111,simulation_112,simulation_113,simulation_114,simulation_115,simulation_116,simulation_117,simulation_118,simulation_119,simulation_120,simulation_121,simulation_122,simulation_123,simulation_124,chain
273.2,-0.005642,4.053e-05,0.006416,0.639,0.3835,0.6562,0.567,19.7,3.8,4156.0,3754.0,4316.0,4006.0,4188.0,3754.0,4340.0,3774.0,4006.0,4188.0,4316.0,4450.0,3754.0,3754.0,4316.0,4450.0,4124.0,3754.0,4188.0,4340.0,4450.0,4132.0,4510.0,3754.0,3754.0,4230.0,4450.0,4492.0,3762.0,4224.0,4316.0,4340.0,4510.0,4510.0,4510.0,4280.0,3754.0,4006.0,4230.0,4340.0,4316.0,3858.0,4092.0,3754.0,3932.0,4230.0,4340.0,4340.0,3888.0,3754.0,4130.0,4240.0,4340.0,4340.0,4340.0,4340.0,3754.0,4340.0,4156.0,4156.0,4240.0,4340.0,4340.0,4340.0,4136.0,4170.0,4240.0,4340.0,4340.0,4340.0,4340.0,4340.0,4230.0,4340.0,4340.0,4340.0,4340.0,4450.0,3858.0,4052.0,4088.0,4188.0,4450.0,4450.0,4450.0,3754.0,3754.0,3754.0,3754.0,4184.0,4316.0,4340.0,4450.0,4450.0,3752.0,4240.0,4340.0,4340.0,4450.0,4410.0,4450.0,4450.0,3754.0,3754.0,3976.0,3976.0,4068.0,4184.0,4240.0,4340.0,4156.0,4324.0,4260.0,4200.0,3754.0,3754.0,3976.0,4096.0,4220.0,4316.0,4340.0,4144.0,4450.0,4450.0,4450.0,0.0
196.1,-0.00515,0.000138,0.004406,0.699,0.3555,0.8057,0.612,13.28,6.062,3754.0,3754.0,3774.0,3754.0,3754.0,3754.0,3918.0,3754.0,3754.0,3754.0,3774.0,3932.0,3754.0,3754.0,3754.0,3932.0,3888.0,3754.0,3754.0,3816.0,3932.0,3936.0,3952.0,3754.0,3754.0,3754.0,3956.0,3956.0,3754.0,3956.0,3956.0,3792.0,3912.0,3956.0,3956.0,3956.0,3754.0,3754.0,3754.0,3754.0,3864.0,3754.0,3868.0,3754.0,3754.0,3754.0,3858.0,3868.0,3858.0,3754.0,3754.0,3754.0,3868.0,3868.0,3868.0,3900.0,3754.0,3912.0,3912.0,3754.0,3754.0,3864.0,3918.0,3932.0,3754.0,3754.0,3754.0,3910.0,3932.0,3932.0,3932.0,3936.0,3754.0,3850.0,3890.0,3918.0,3936.0,3936.0,3816.0,3760.0,3754.0,3754.0,3932.0,3932.0,3940.0,3754.0,3754.0,3754.0,3754.0,3754.0,3804.0,3918.0,3952.0,3952.0,3754.0,3754.0,3780.0,3890.0,3956.0,3956.0,3956.0,3956.0,3754.0,3754.0,3774.0,3804.0,3754.0,3754.0,3754.0,3890.0,3956.0,3956.0,3956.0,3926.0,3754.0,3754.0,3754.0,3754.0,3754.0,3754.0,3932.0,3956.0,3956.0,3956.0,3956.0,0.0
173.6,-0.006165,1.13e-06,0.00995,0.6206,0.2988,0.792,0.5464,8.87,5.836,3868.0,3754.0,4024.0,3754.0,3900.0,3754.0,4184.0,3878.0,3754.0,3900.0,3992.0,4184.0,3754.0,3754.0,3900.0,4184.0,4124.0,3754.0,3868.0,4130.0,4224.0,4144.0,4224.0,3754.0,3754.0,3910.0,4164.0,4224.0,3804.0,4224.0,4224.0,4010.0,4156.0,4224.0,4224.0,4224.0,3754.0,3754.0,3804.0,4052.0,4088.0,4008.0,4088.0,3754.0,3754.0,3912.0,4068.0,4088.0,3918.0,3754.0,3754.0,3918.0,4096.0,4096.0,4130.0,4150.0,3754.0,4170.0,4170.0,3762.0,3940.0,4110.0,4170.0,4184.0,3754.0,3830.0,3918.0,4184.0,4184.0,4184.0,4184.0,4184.0,3774.0,4088.0,4184.0,4184.0,4184.0,4184.0,3890.0,4156.0,3754.0,3754.0,4184.0,4216.0,4220.0,3754.0,3754.0,3754.0,3754.0,3918.0,4068.0,4094.0,4184.0,4220.0,3754.0,3926.0,4136.0,4224.0,4224.0,4224.0,4224.0,4224.0,3754.0,3912.0,4040.0,4040.0,3754.0,3866.0,4036.0,4124.0,4172.0,4224.0,4224.0,4216.0,3754.0,3754.0,3754.0,3754.0,3780.0,4064.0,4224.0,4164.0,4224.0,4224.0,4224.0,0.0
167.9,-0.006676,0.0001473,0.009315,0.6816,0.3962,0.839,0.627,7.02,3.77,3792.0,3754.0,3866.0,3754.0,3754.0,3754.0,3980.0,3754.0,3754.0,3754.0,3868.0,3992.0,3754.0,3754.0,3792.0,3992.0,3754.0,3754.0,3754.0,3890.0,3992.0,4006.0,4006.0,3762.0,3754.0,3762.0,4006.0,4006.0,3816.0,3900.0,4008.0,3868.0,3956.0,4010.0,4010.0,4010.0,3754.0,3754.0,3754.0,3850.0,3912.0,3754.0,3890.0,3754.0,3754.0,3754.0,3918.0,3918.0,3926.0,3754.0,3754.0,3804.0,3926.0,3926.0,3932.0,3956.0,3754.0,3976.0,3972.0,3754.0,3816.0,3918.0,3978.0,3992.0,3754.0,3754.0,3774.0,3936.0,3992.0,4006.0,4006.0,4008.0,3754.0,3912.0,3956.0,3976.0,4008.0,4008.0,3918.0,3754.0,3754.0,3754.0,4008.0,4008.0,4010.0,3754.0,3754.0,3754.0,3754.0,3754.0,3900.0,3992.0,4010.0,4010.0,3852.0,3762.0,3868.0,3952.0,4010.0,4010.0,4010.0,4010.0,3754.0,3754.0,3754.0,3754.0,3754.0,3754.0,3762.0,3932.0,4010.0,4010.0,4010.0,3754.0,3754.0,3754.0,3754.0,3754.0,3754.0,3762.0,3992.0,4010.0,4010.0,4010.0,4010.0,0.0
169.0,-0.005684,5.746e-05,0.009544,0.666,0.3918,0.7275,0.597,7.797,5.145,3890.0,3754.0,4136.0,3754.0,3936.0,3754.0,4230.0,3754.0,3754.0,3926.0,4090.0,4240.0,3754.0,3754.0,4030.0,4244.0,4024.0,3754.0,3992.0,4184.0,4244.0,4124.0,4240.0,3754.0,3754.0,3978.0,4230.0,4240.0,3762.0,4124.0,4240.0,4156.0,4230.0,4240.0,4240.0,4244.0,3754.0,3754.0,3932.0,4136.0,4184.0,3760.0,4156.0,3754.0,3754.0,3978.0,4170.0,4184.0,3868.0,3754.0,3838.0,4026.0,4184.0,4184.0,4184.0,4220.0,3754.0,4230.0,4124.0,3864.0,4052.0,4184.0,4230.0,4230.0,3850.0,3926.0,4026.0,4230.0,4230.0,4230.0,4230.0,4230.0,3926.0,4184.0,4230.0,4230.0,4230.0,4230.0,3858.0,4026.0,3754.0,3912.0,4240.0,4240.0,4240.0,3754.0,3754.0,3754.0,3754.0,3956.0,4136.0,4224.0,4240.0,4240.0,3752.0,4030.0,4184.0,4240.0,4244.0,4244.0,4244.0,4244.0,3754.0,3754.0,3840.0,3840.0,3780.0,3918.0,4052.0,4220.0,4140.0,4244.0,4240.0,4072.0,3754.0,3754.0,3754.0,3754.0,3932.0,4072.0,4220.0,4120.0,4244.0,4244.0,4244.0,0.0
200.0,-0.006485,0.0001228,0.00917,0.698,0.2139,0.7217,0.5396,16.61,7.676,3912.0,3754.0,4124.0,3762.0,3980.0,3754.0,4230.0,4156.0,3848.0,3992.0,4136.0,4230.0,4060.0,3810.0,4088.0,4230.0,4230.0,3754.0,4010.0,4184.0,4230.0,4124.0,4230.0,3754.0,3754.0,4010.0,4230.0,4230.0,3816.0,4230.0,4230.0,4176.0,4230.0,4230.0,4230.0,4240.0,3754.0,3816.0,3976.0,4136.0,4184.0,4156.0,4184.0,3754.0,3754.0,3992.0,4156.0,4184.0,3918.0,3754.0,3890.0,4036.0,4184.0,4184.0,4184.0,4184.0,3754.0,4224.0,4224.0,3912.0,4072.0,4184.0,4224.0,4224.0,3910.0,3978.0,4040.0,4224.0,4224.0,4220.0,4220.0,4220.0,3992.0,4184.0,4220.0,4220.0,4220.0,4230.0,3890.0,4230.0,3754.0,3932.0,4230.0,4230.0,4230.0,3754.0,3754.0,3754.0,3754.0,3992.0,4130.0,4216.0,4230.0,4230.0,3900.0,4044.0,4184.0,4230.0,4230.0,4230.0,4230.0,4230.0,3754.0,4132.0,4220.0,4220.0,3900.0,4010.0,4130.0,4220.0,4130.0,4240.0,4230.0,4230.0,3912.0,3754.0,3754.0,3888.0,4008.0,4096.0,4220.0,4120.0,4230.0,4230.0,4230.0,0.0
197.0,-0.005,0.0001476,0.006874,0.6094,0.2104,0.891,0.6133,6.895,5.15,3754.0,3754.0,3804.0,3754.0,3754.0,3754.0,3936.0,3900.0,3754.0,3754.0,3826.0,3946.0,3754.0,3754.0,3754.0,3946.0,3946.0,3754.0,3754.0,3816.0,3946.0,3952.0,3952.0,3754.0,3754.0,3754.0,3952.0,3952.0,3754.0,3952.0,3952.0,3858.0,3918.0,3952.0,3952.0,3952.0,3754.0,3754.0,3754.0,3774.0,3900.0,3910.0,3912.0,3754.0,3754.0,3754.0,3858.0,3868.0,3890.0,3754.0,3754.0,3754.0,3868.0,3890.0,3912.0,3912.0,3754.0,3918.0,3918.0,3754.0,3754.0,3868.0,3926.0,3946.0,3754.0,3754.0,3754.0,3912.0,3946.0,3946.0,3946.0,3946.0,3754.0,3868.0,3890.0,3932.0,3946.0,3946.0,3838.0,3946.0,3754.0,3754.0,3946.0,3946.0,3946.0,3754.0,3754.0,3754.0,3754.0,3754.0,3868.0,3946.0,3946.0,3946.0,3936.0,3754.0,3858.0,3926.0,3952.0,3952.0,3952.0,3952.0,3754.0,3952.0,3952.0,3952.0,3754.0,3754.0,3754.0,3952.0,3952.0,3952.0,3952.0,3940.0,3754.0,3754.0,3754.0,3754.0,3754.0,3754.0,3952.0,3952.0,3952.0,3952.0,3952.0,0.0
166.0,-0.00518,4.685e-05,0.0002335,0.618,0.3274,0.8516,0.621,5.3,5.02,3754.0,3754.0,3826.0,3754.0,3754.0,3754.0,3992.0,3754.0,3754.0,3754.0,3868.0,4024.0,3754.0,3754.0,3754.0,4026.0,3858.0,3754.0,3754.0,3890.0,4026.0,4044.0,4044.0,3754.0,3754.0,3754.0,4006.0,4044.0,3762.0,4048.0,4048.0,3868.0,3988.0,4068.0,4068.0,4072.0,3754.0,3754.0,3754.0,3858.0,3978.0,3840.0,3976.0,3754.0,3754.0,3754.0,3890.0,3912.0,3868.0,3754.0,3754.0,3762.0,3926.0,3976.0,3976.0,3992.0,3754.0,4010.0,4010.0,3754.0,3762.0,3976.0,4024.0,4026.0,3754.0,3754.0,3754.0,4010.0,4026.0,4026.0,4026.0,4036.0,3754.0,3890.0,4006.0,4036.0,4036.0,4044.0,3838.0,3760.0,3754.0,3754.0,4044.0,4044.0,4052.0,3754.0,3754.0,3754.0,3754.0,3754.0,3976.0,4010.0,4044.0,4048.0,3752.0,3754.0,3890.0,4044.0,4048.0,4060.0,4060.0,4060.0,3754.0,3754.0,3774.0,3774.0,3754.0,3754.0,3774.0,3988.0,4068.0,4068.0,4068.0,3840.0,3754.0,3754.0,3754.0,3754.0,3754.0,3754.0,4034.0,4068.0,4068.0,4068.0,4068.0,0.0
203.5,-0.005627,9.83e-06,0.0072,0.68,0.3298,0.7007,0.56,14.445,5.914,3918.0,3754.0,4184.0,3754.0,3992.0,3754.0,4240.0,3858.0,3754.0,3976.0,4156.0,4316.0,3754.0,3754.0,4136.0,4316.0,4124.0,3754.0,4052.0,4230.0,4316.0,4120.0,4316.0,3754.0,3754.0,4026.0,4316.0,4316.0,3762.0,4240.0,4316.0,4220.0,4316.0,4316.0,4316.0,4276.0,3754.0,3754.0,4008.0,4184.0,4230.0,3888.0,4230.0,3754.0,3754.0,4026.0,4220.0,4230.0,3858.0,3754.0,3868.0,4096.0,4230.0,4230.0,4230.0,4244.0,3754.0,4240.0,4224.0,3912.0,4130.0,4230.0,4240.0,4240.0,3890.0,3988.0,4108.0,4240.0,4240.0,4240.0,4240.0,4240.0,3992.0,4230.0,4240.0,4240.0,4240.0,4240.0,3858.0,4124.0,3754.0,3976.0,4316.0,4316.0,4316.0,3754.0,3754.0,3754.0,3754.0,3992.0,4184.0,4240.0,4316.0,4316.0,3742.0,4130.0,4230.0,4240.0,4316.0,4316.0,4316.0,4316.0,3754.0,3792.0,4038.0,4052.0,3858.0,4010.0,4136.0,4240.0,4124.0,4280.0,4260.0,4230.0,3754.0,3754.0,3754.0,3760.0,4006.0,4156.0,4240.0,4104.0,4316.0,4316.0,4316.0,0.0
149.6,-0.006798,7.66e-05,0.00542,0.6353,0.295,0.7563,0.4875,20.2,3.07,3912.0,3754.0,4036.0,3754.0,3932.0,3754.0,4184.0,3804.0,3754.0,3918.0,4024.0,4184.0,3754.0,3754.0,3932.0,4184.0,3868.0,3754.0,3926.0,4156.0,4220.0,4150.0,4220.0,3762.0,3754.0,3956.0,4184.0,4220.0,3838.0,4156.0,4220.0,4068.0,4184.0,4224.0,4224.0,4224.0,3754.0,3754.0,3900.0,4068.0,4110.0,3864.0,4070.0,3754.0,3754.0,3972.0,4088.0,4130.0,3940.0,3754.0,3826.0,3976.0,4130.0,4130.0,4150.0,4170.0,3754.0,4176.0,4176.0,3826.0,4010.0,4132.0,4184.0,4184.0,3808.0,3900.0,3978.0,4184.0,4184.0,4216.0,4216.0,4216.0,3888.0,4096.0,4184.0,4216.0,4216.0,4216.0,3918.0,3754.0,3754.0,3840.0,4220.0,4220.0,4220.0,3754.0,3754.0,3754.0,3754.0,3940.0,4074.0,4130.0,4184.0,4220.0,3900.0,3972.0,4136.0,4224.0,4224.0,4224.0,4224.0,4224.0,3754.0,3754.0,3804.0,3804.0,3762.0,3888.0,4036.0,4156.0,4170.0,4224.0,4224.0,3946.0,3754.0,3754.0,3754.0,3754.0,3918.0,4074.0,4216.0,4156.0,4224.0,4224.0,4224.0,0.0
