like1,parlr_T,parlr_RRR,parlr_RH,parRRR_factor,paralb_ice,paralb_snow,paralb_firn,paralbedo_aging,paralbedo_depth,simulation_0,simulation_1,simulation_2,simulation_3,simulation_4,simulation_5,simulation_6,simulation_7,simulation_8,simulation_9,simulation_10,simulation_11,simulation_12,simulation_13,simulation_14,simulation_15,simulation_16,simulation_17,simulation_18,simulation_19,simulation_20,simulation_21,simulation_22,simulation_23,simulation_24,simulation_25,simulation_26,simulation_27,simulation_28,simulation_29,simulation_30,simulation_31,simulation_32,simulation_33,simulation_34,simulation_35,simulation_36,simulation_37,simulation_38,simulation_39,simulation_40,simulation_41,simulation_42,simulation_43,simulation_44,simulation_45,simulation_46,simulation_47,simulation_48,simulation_49,simulation_50,simulation_51,simulation_52,simulation_53,simulation_54,simulation_55,simulation_56,simulation_57,simulation_58,simulation_59,simulation_60,simulation_61,simulation_62,simulation_63,simulation_64,simulation_65,simulation_66,simulation_67,simulation_68,simulation_69,simulation_70,simulation_71,simulation_72,simulation_73,simulation_74,simulation_75,simulation_76,simulation_77,simulation_78,simulation_79,simulation_80,simulation_81,simulation_82,simulation_83,simulation_84,simulation_85,simulation_86,simulation_87,chain
-276.0,-0.00595,0.0001371,0.006954,0.6494,0.3608,0.849,0.5166,13.63,3.537,4240.0,4230.0,4176.0,4320.0,4030.0,4136.0,4224.0,4320.0,4304.0,4320.0,4204.0,4320.0,4320.0,4144.0,4316.0,4006.0,4184.0,4316.0,4316.0,3774.0,4230.0,4230.0,4230.0,4316.0,4316.0,4316.0,4308.0,4188.0,4296.0,4304.0,4304.0,4176.0,4304.0,4320.0,4188.0,4184.0,4216.0,4320.0,4316.0,4324.0,4316.0,4316.0,4316.0,4072.0,4224.0,4320.0,4316.0,4316.0,4072.0,4130.0,4224.0,4316.0,4316.0,4316.0,4316.0,4316.0,4184.0,4280.0,4316.0,4316.0,4316.0,4316.0,3890.0,4060.0,4188.0,4316.0,4240.0,4316.0,4316.0,4316.0,4316.0,4316.0,4252.0,4280.0,4316.0,4316.0,4104.0,4240.0,4316.0,4316.0,4292.0,4196.0,4256.0,4104.0,4224.0,4316.0,4316.0,4316.0,0.0
-297.2,-0.005676,0.0001335,0.00811,0.6396,0.3687,0.84,0.514,12.94,3.654,4260.0,4240.0,4220.0,4340.0,4092.0,4184.0,4244.0,4340.0,4316.0,4340.0,4224.0,4340.0,4340.0,4144.0,4340.0,4008.0,4220.0,4340.0,4340.0,3762.0,4240.0,4240.0,4280.0,4340.0,4340.0,4340.0,4310.0,4224.0,4324.0,4316.0,4316.0,4224.0,4316.0,4340.0,4190.0,4224.0,4240.0,4340.0,4340.0,4340.0,4340.0,4340.0,4340.0,4156.0,4240.0,4332.0,4340.0,4340.0,4130.0,4184.0,4244.0,4340.0,4340.0,4340.0,4340.0,4340.0,4224.0,4316.0,4340.0,4340.0,4340.0,4340.0,3868.0,4088.0,4240.0,4340.0,4280.0,4340.0,4340.0,4340.0,4340.0,4316.0,4276.0,4304.0,4340.0,4340.0,4156.0,4280.0,4340.0,4340.0,4310.0,4204.0,4256.0,4156.0,4240.0,4340.0,4340.0,4340.0,0.0
-298.2,-0.005737,0.0001411,0.008514,0.639,0.369,0.84,0.5103,12.23,3.387,4280.0,4240.0,4220.0,4340.0,4104.0,4184.0,4244.0,4340.0,4316.0,4340.0,4224.0,4340.0,4340.0,4144.0,4340.0,4010.0,4230.0,4340.0,4340.0,3774.0,4224.0,4224.0,4320.0,4340.0,4340.0,4340.0,4310.0,4240.0,4316.0,4316.0,4316.0,4230.0,4340.0,4340.0,4190.0,4224.0,4240.0,4340.0,4340.0,4340.0,4340.0,4340.0,4340.0,4176.0,4240.0,4340.0,4340.0,4340.0,4148.0,4184.0,4244.0,4340.0,4340.0,4340.0,4340.0,4340.0,4224.0,4340.0,4340.0,4340.0,4340.0,4340.0,3888.0,4052.0,4240.0,4340.0,4284.0,4340.0,4340.0,4340.0,4340.0,4316.0,4276.0,4316.0,4340.0,4340.0,4176.0,4280.0,4340.0,4340.0,4310.0,4212.0,4256.0,4176.0,4244.0,4340.0,4340.0,4340.0,0.0
-297.5,-0.00566,0.0001544,0.00743,0.639,0.3564,0.8384,0.5137,11.87,3.125,4280.0,4230.0,4224.0,4340.0,4104.0,4184.0,4260.0,4340.0,4316.0,4340.0,4224.0,4340.0,4340.0,4144.0,4340.0,4012.0,4230.0,4340.0,4340.0,3762.0,4224.0,4224.0,4316.0,4340.0,4340.0,4340.0,4310.0,4230.0,4316.0,4316.0,4316.0,4230.0,4340.0,4340.0,4190.0,4224.0,4230.0,4340.0,4340.0,4340.0,4340.0,4340.0,4340.0,4184.0,4244.0,4340.0,4340.0,4340.0,4156.0,4224.0,4244.0,4340.0,4340.0,4340.0,4340.0,4340.0,4224.0,4340.0,4340.0,4340.0,4340.0,4340.0,3868.0,4052.0,4240.0,4340.0,4284.0,4340.0,4340.0,4340.0,4340.0,4240.0,4276.0,4316.0,4340.0,4340.0,4184.0,4280.0,4340.0,4340.0,4308.0,4212.0,4260.0,4176.0,4244.0,4340.0,4340.0,4340.0,0.0
-308.0,-0.00558,0.0001569,0.00773,0.6343,0.3577,0.835,0.5215,12.99,3.936,4284.0,4316.0,4224.0,4340.0,4110.0,4224.0,4260.0,4340.0,4316.0,4340.0,4224.0,4340.0,4340.0,4144.0,4340.0,4024.0,4230.0,4340.0,4340.0,3762.0,4316.0,4316.0,4316.0,4340.0,4340.0,4340.0,4316.0,4230.0,4316.0,4340.0,4340.0,4230.0,4340.0,4340.0,4224.0,4228.0,4240.0,4340.0,4340.0,4340.0,4340.0,4340.0,4340.0,4184.0,4244.0,4340.0,4340.0,4340.0,4156.0,4216.0,4244.0,4340.0,4340.0,4340.0,4340.0,4340.0,4240.0,4340.0,4340.0,4340.0,4340.0,4340.0,3868.0,4124.0,4240.0,4340.0,4304.0,4340.0,4340.0,4340.0,4340.0,4340.0,4280.0,4320.0,4340.0,4340.0,4184.0,4280.0,4340.0,4340.0,4316.0,4212.0,4260.0,4184.0,4244.0,4340.0,4340.0,4340.0,0.0
-309.8,-0.00579,0.0001447,0.006428,0.632,0.3599,0.8325,0.5283,13.06,4.562,4304.0,4316.0,4240.0,4340.0,4130.0,4240.0,4320.0,4340.0,4340.0,4340.0,4224.0,4340.0,4340.0,4144.0,4340.0,4024.0,4240.0,4340.0,4340.0,3774.0,4340.0,4340.0,4316.0,4340.0,4340.0,4340.0,4310.0,4230.0,4316.0,4340.0,4340.0,4230.0,4340.0,4340.0,4224.0,4240.0,4244.0,4340.0,4340.0,4340.0,4340.0,4340.0,4340.0,4184.0,4260.0,4340.0,4340.0,4340.0,4176.0,4224.0,4244.0,4340.0,4340.0,4340.0,4340.0,4340.0,4230.0,4340.0,4340.0,4340.0,4340.0,4340.0,3890.0,4092.0,4240.0,4340.0,4304.0,4340.0,4340.0,4340.0,4340.0,4340.0,4280.0,4320.0,4340.0,4340.0,4184.0,4280.0,4340.0,4340.0,4324.0,4212.0,4260.0,4184.0,4240.0,4340.0,4340.0,4340.0,0.0
-307.0,-0.006,0.0001663,0.006485,0.6323,0.3708,0.8384,0.529,13.29,5.34,4280.0,4316.0,4224.0,4316.0,4120.0,4240.0,4276.0,4316.0,4316.0,4316.0,4224.0,4316.0,4316.0,4150.0,4340.0,4032.0,4230.0,4340.0,4340.0,3780.0,4340.0,4340.0,4316.0,4340.0,4340.0,4340.0,4310.0,4240.0,4316.0,4316.0,4316.0,4240.0,4316.0,4340.0,4224.0,4224.0,4240.0,4340.0,4340.0,4340.0,4340.0,4340.0,4340.0,4176.0,4244.0,4340.0,4340.0,4340.0,4160.0,4216.0,4244.0,4340.0,4340.0,4340.0,4340.0,4340.0,4240.0,4340.0,4340.0,4340.0,4340.0,4340.0,3890.0,4216.0,4240.0,4340.0,4290.0,4340.0,4340.0,4340.0,4340.0,4340.0,4276.0,4290.0,4340.0,4340.0,4184.0,4280.0,4340.0,4340.0,4310.0,4212.0,4256.0,4180.0,4244.0,4340.0,4340.0,4340.0,0.0
-312.0,-0.006214,0.0001512,0.007618,0.633,0.353,0.836,0.52,12.836,5.4,4280.0,4316.0,4240.0,4340.0,4136.0,4240.0,4320.0,4340.0,4340.0,4340.0,4240.0,4340.0,4340.0,4150.0,4340.0,4028.0,4240.0,4340.0,4340.0,3804.0,4340.0,4340.0,4340.0,4340.0,4340.0,4340.0,4308.0,4230.0,4316.0,4340.0,4340.0,4230.0,4340.0,4340.0,4224.0,4230.0,4244.0,4340.0,4340.0,4340.0,4340.0,4340.0,4340.0,4184.0,4260.0,4316.0,4340.0,4340.0,4184.0,4224.0,4240.0,4340.0,4340.0,4340.0,4340.0,4340.0,4230.0,4340.0,4340.0,4340.0,4340.0,4340.0,3918.0,4224.0,4240.0,4340.0,4316.0,4340.0,4340.0,4340.0,4340.0,4340.0,4276.0,4320.0,4340.0,4340.0,4216.0,4280.0,4340.0,4340.0,4310.0,4212.0,4260.0,4184.0,4280.0,4340.0,4340.0,4340.0,0.0
-316.2,-0.00671,0.0001658,0.00716,0.6333,0.3572,0.832,0.533,10.766,4.867,4290.0,4340.0,4240.0,4340.0,4160.0,4244.0,4316.0,4340.0,4340.0,4340.0,4224.0,4340.0,4340.0,4150.0,4340.0,4052.0,4260.0,4340.0,4340.0,3826.0,4340.0,4340.0,4340.0,4340.0,4340.0,4340.0,4300.0,4244.0,4340.0,4340.0,4340.0,4244.0,4340.0,4340.0,4224.0,4228.0,4280.0,4340.0,4340.0,4340.0,4340.0,4340.0,4340.0,4224.0,4316.0,4340.0,4340.0,4340.0,4220.0,4240.0,4280.0,4340.0,4340.0,4340.0,4340.0,4340.0,4240.0,4340.0,4340.0,4340.0,4340.0,4340.0,3936.0,4216.0,4240.0,4340.0,4320.0,4340.0,4340.0,4340.0,4340.0,4340.0,4280.0,4320.0,4340.0,4340.0,4224.0,4304.0,4340.0,4340.0,4304.0,4212.0,4256.0,4216.0,4316.0,4340.0,4340.0,4340.0,0.0
-370.0,-0.006824,0.0001646,0.00673,0.642,0.3674,0.82,0.519,8.87,4.375,4340.0,4340.0,4304.0,4400.0,4212.0,4304.0,4340.0,4450.0,4340.0,4450.0,4224.0,4450.0,4450.0,4150.0,4450.0,4032.0,4316.0,4450.0,4450.0,3830.0,4316.0,4340.0,4340.0,4450.0,4450.0,4450.0,4296.0,4316.0,4340.0,4340.0,4340.0,4316.0,4340.0,4340.0,4190.0,4230.0,4316.0,4400.0,4400.0,4400.0,4450.0,4450.0,4450.0,4244.0,4316.0,4340.0,4450.0,4450.0,4240.0,4244.0,4340.0,4450.0,4450.0,4450.0,4450.0,4450.0,4316.0,4340.0,4450.0,4450.0,4450.0,4450.0,3936.0,4216.0,4320.0,4450.0,4340.0,4400.0,4450.0,4450.0,4450.0,4450.0,4316.0,4340.0,4450.0,4450.0,4240.0,4316.0,4450.0,4450.0,4290.0,4204.0,4256.0,4224.0,4340.0,4450.0,4450.0,4450.0,0.0
