like1,parlr_T,parlr_RRR,parlr_RH,parRRR_factor,paralb_ice,paralb_snow,paralb_firn,paralbedo_aging,paralbedo_depth,simulation_0,simulation_1,simulation_2,simulation_3,simulation_4,simulation_5,simulation_6,simulation_7,simulation_8,simulation_9,simulation_10,simulation_11,simulation_12,simulation_13,simulation_14,simulation_15,simulation_16,simulation_17,simulation_18,simulation_19,simulation_20,simulation_21,simulation_22,simulation_23,simulation_24,simulation_25,simulation_26,simulation_27,simulation_28,simulation_29,simulation_30,simulation_31,simulation_32,simulation_33,simulation_34,simulation_35,simulation_36,simulation_37,simulation_38,simulation_39,simulation_40,simulation_41,simulation_42,simulation_43,simulation_44,simulation_45,simulation_46,simulation_47,simulation_48,simulation_49,simulation_50,simulation_51,simulation_52,simulation_53,simulation_54,simulation_55,simulation_56,simulation_57,simulation_58,simulation_59,simulation_60,simulation_61,simulation_62,simulation_63,simulation_64,simulation_65,simulation_66,simulation_67,simulation_68,simulation_69,simulation_70,simulation_71,simulation_72,simulation_73,simulation_74,simulation_75,simulation_76,simulation_77,simulation_78,simulation_79,simulation_80,simulation_81,simulation_82,simulation_83,simulation_84,simulation_85,simulation_86,chain
-244.2,-0.005207,3.05e-05,0.0001273,1.247,0.2162,0.894,0.57,10.96,7.19,3762.0,3762.0,3754.0,3868.0,3754.0,3754.0,3762.0,3754.0,3868.0,3754.0,3792.0,3868.0,3868.0,3868.0,3754.0,3754.0,3888.0,3888.0,3754.0,3888.0,3888.0,3780.0,3888.0,3888.0,3890.0,3890.0,3754.0,3762.0,3890.0,3890.0,3754.0,3838.0,3848.0,3816.0,3754.0,3754.0,3858.0,3866.0,3888.0,3890.0,3890.0,3890.0,3754.0,3762.0,3808.0,3890.0,3890.0,3754.0,3754.0,3754.0,3848.0,3890.0,3890.0,3890.0,3890.0,3754.0,3816.0,3838.0,3838.0,3848.0,3890.0,3774.0,3754.0,3754.0,3890.0,3754.0,3890.0,3890.0,3890.0,3890.0,3890.0,3754.0,3754.0,3890.0,3890.0,3754.0,3754.0,3792.0,3890.0,3890.0,3890.0,3890.0,3754.0,3754.0,3890.0,3890.0,3890.0,0.0
-244.2,-0.005363,8.05e-06,0.0005894,1.248,0.21,0.9,0.5615,10.67,7.324,3774.0,3774.0,3754.0,3890.0,3754.0,3754.0,3762.0,3762.0,3890.0,3754.0,3804.0,3890.0,3890.0,3890.0,3754.0,3754.0,3890.0,3890.0,3754.0,3890.0,3890.0,3792.0,3890.0,3890.0,3890.0,3890.0,3754.0,3762.0,3890.0,3890.0,3754.0,3838.0,3850.0,3838.0,3754.0,3754.0,3848.0,3866.0,3888.0,3890.0,3890.0,3890.0,3754.0,3754.0,3816.0,3890.0,3890.0,3754.0,3754.0,3754.0,3830.0,3890.0,3890.0,3890.0,3890.0,3754.0,3780.0,3838.0,3838.0,3848.0,3890.0,3780.0,3754.0,3754.0,3890.0,3754.0,3890.0,3890.0,3890.0,3890.0,3890.0,3754.0,3754.0,3890.0,3890.0,3754.0,3754.0,3754.0,3890.0,3890.0,3890.0,3890.0,3754.0,3754.0,3792.0,3890.0,3890.0,0.0
-228.0,-0.00536,1.06e-05,0.000547,1.246,0.2076,0.893,0.5703,9.516,7.71,3816.0,3792.0,3754.0,3900.0,3754.0,3754.0,3816.0,3762.0,3900.0,3754.0,3826.0,3900.0,3910.0,3910.0,3754.0,3754.0,3910.0,3910.0,3754.0,3910.0,3910.0,3858.0,3890.0,3912.0,3912.0,3912.0,3754.0,3858.0,3912.0,3912.0,3754.0,3850.0,3858.0,3838.0,3754.0,3754.0,3890.0,3910.0,3912.0,3912.0,3912.0,3912.0,3754.0,3774.0,3858.0,3912.0,3912.0,3754.0,3754.0,3754.0,3890.0,3912.0,3912.0,3912.0,3912.0,3754.0,3816.0,3838.0,3848.0,3910.0,3912.0,3780.0,3760.0,3754.0,3912.0,3754.0,3912.0,3912.0,3912.0,3912.0,3912.0,3754.0,3804.0,3890.0,3912.0,3754.0,3754.0,3838.0,3912.0,3912.0,3912.0,3912.0,3754.0,3754.0,3912.0,3912.0,3912.0,0.0
-228.5,-0.00518,5.2e-06,0.00177,1.246,0.2097,0.894,0.564,9.13,7.914,3826.0,3780.0,3754.0,3900.0,3754.0,3754.0,3804.0,3754.0,3900.0,3754.0,3818.0,3900.0,3900.0,3900.0,3754.0,3754.0,3900.0,3900.0,3754.0,3900.0,3900.0,3838.0,3890.0,3910.0,3910.0,3912.0,3754.0,3858.0,3912.0,3912.0,3754.0,3838.0,3848.0,3816.0,3754.0,3754.0,3910.0,3910.0,3912.0,3912.0,3912.0,3912.0,3754.0,3762.0,3868.0,3912.0,3912.0,3754.0,3754.0,3754.0,3910.0,3912.0,3912.0,3912.0,3912.0,3754.0,3826.0,3838.0,3858.0,3910.0,3912.0,3774.0,3760.0,3754.0,3912.0,3754.0,3912.0,3912.0,3912.0,3912.0,3912.0,3754.0,3780.0,3888.0,3912.0,3754.0,3754.0,3858.0,3912.0,3912.0,3912.0,3912.0,3754.0,3754.0,3912.0,3912.0,3912.0,0.0
-238.0,-0.005295,2.3e-06,0.001608,1.249,0.2101,0.88,0.5596,11.17,7.156,3780.0,3780.0,3754.0,3890.0,3754.0,3754.0,3762.0,3754.0,3890.0,3754.0,3804.0,3890.0,3890.0,3890.0,3754.0,3754.0,3890.0,3890.0,3754.0,3890.0,3890.0,3792.0,3890.0,3900.0,3900.0,3900.0,3754.0,3808.0,3900.0,3900.0,3754.0,3848.0,3850.0,3826.0,3754.0,3754.0,3868.0,3868.0,3900.0,3900.0,3900.0,3900.0,3754.0,3762.0,3848.0,3900.0,3900.0,3754.0,3754.0,3754.0,3868.0,3900.0,3900.0,3900.0,3900.0,3754.0,3816.0,3838.0,3838.0,3864.0,3900.0,3774.0,3754.0,3754.0,3900.0,3754.0,3900.0,3900.0,3900.0,3900.0,3900.0,3754.0,3754.0,3890.0,3900.0,3754.0,3754.0,3804.0,3900.0,3900.0,3900.0,3900.0,3754.0,3754.0,3900.0,3900.0,3900.0,0.0
-229.5,-0.005665,8.64e-06,0.00173,1.252,0.1982,0.878,0.5674,11.9,7.215,3808.0,3792.0,3754.0,3900.0,3754.0,3754.0,3826.0,3762.0,3900.0,3754.0,3826.0,3900.0,3900.0,3910.0,3754.0,3754.0,3910.0,3910.0,3754.0,3910.0,3910.0,3816.0,3910.0,3912.0,3912.0,3912.0,3754.0,3794.0,3912.0,3912.0,3754.0,3858.0,3868.0,3850.0,3754.0,3762.0,3888.0,3890.0,3910.0,3912.0,3912.0,3912.0,3754.0,3780.0,3838.0,3912.0,3912.0,3754.0,3754.0,3754.0,3868.0,3912.0,3912.0,3912.0,3912.0,3754.0,3838.0,3858.0,3866.0,3868.0,3912.0,3804.0,3754.0,3754.0,3912.0,3754.0,3912.0,3912.0,3912.0,3912.0,3912.0,3754.0,3754.0,3912.0,3912.0,3754.0,3754.0,3816.0,3912.0,3912.0,3912.0,3912.0,3754.0,3754.0,3910.0,3912.0,3912.0,0.0
-201.5,-0.005714,2.116e-05,0.000974,1.257,0.2058,0.8667,0.5684,10.54,7.88,3890.0,3890.0,3754.0,3952.0,3754.0,3774.0,3868.0,3804.0,3952.0,3754.0,3918.0,3952.0,3952.0,3952.0,3754.0,3762.0,3956.0,3956.0,3754.0,3956.0,3956.0,3900.0,3936.0,3956.0,3972.0,3972.0,3754.0,3926.0,3940.0,3940.0,3754.0,3888.0,3900.0,3858.0,3754.0,3774.0,3936.0,3936.0,3940.0,3940.0,3946.0,3946.0,3754.0,3792.0,3912.0,3952.0,3972.0,3754.0,3754.0,3754.0,3956.0,3972.0,3972.0,3972.0,3972.0,3754.0,3858.0,3868.0,3926.0,3972.0,3972.0,3816.0,3828.0,3754.0,3972.0,3866.0,3972.0,3972.0,3972.0,3972.0,3972.0,3754.0,3826.0,3932.0,3972.0,3754.0,3754.0,3918.0,3972.0,3972.0,3972.0,3972.0,3754.0,3754.0,3956.0,3972.0,3972.0,0.0
-220.6,-0.00589,3.2e-06,0.0002732,1.259,0.2168,0.87,0.5757,11.54,7.625,3838.0,3826.0,3754.0,3918.0,3754.0,3754.0,3838.0,3774.0,3918.0,3754.0,3848.0,3918.0,3918.0,3918.0,3754.0,3754.0,3918.0,3918.0,3754.0,3918.0,3918.0,3830.0,3918.0,3926.0,3926.0,3932.0,3754.0,3838.0,3926.0,3926.0,3754.0,3868.0,3888.0,3858.0,3754.0,3774.0,3900.0,3900.0,3926.0,3926.0,3926.0,3926.0,3754.0,3804.0,3866.0,3926.0,3926.0,3754.0,3754.0,3754.0,3900.0,3926.0,3926.0,3926.0,3926.0,3754.0,3850.0,3868.0,3868.0,3912.0,3926.0,3816.0,3754.0,3754.0,3926.0,3754.0,3926.0,3926.0,3926.0,3926.0,3926.0,3754.0,3754.0,3912.0,3926.0,3754.0,3754.0,3848.0,3926.0,3926.0,3926.0,3926.0,3754.0,3754.0,3912.0,3926.0,3926.0,0.0
-197.6,-0.005672,2.06e-05,0.0004635,1.259,0.2003,0.867,0.56,10.21,7.562,3890.0,3888.0,3754.0,3972.0,3754.0,3774.0,3868.0,3826.0,3972.0,3808.0,3932.0,3972.0,3972.0,3972.0,3754.0,3762.0,3972.0,3972.0,3754.0,3972.0,3972.0,3912.0,3952.0,3976.0,3976.0,3976.0,3754.0,3936.0,3940.0,3940.0,3754.0,3890.0,3918.0,3858.0,3754.0,3762.0,3940.0,3940.0,3940.0,3946.0,3972.0,3972.0,3754.0,3792.0,3926.0,3972.0,3976.0,3754.0,3754.0,3754.0,3976.0,3976.0,3976.0,3976.0,3976.0,3754.0,3858.0,3868.0,3932.0,3976.0,3976.0,3804.0,3798.0,3754.0,3976.0,3888.0,3976.0,3976.0,3976.0,3976.0,3976.0,3754.0,3826.0,3976.0,3976.0,3754.0,3754.0,3932.0,3976.0,3976.0,3976.0,3976.0,3754.0,3754.0,3976.0,3976.0,3976.0,0.0
-196.1,-0.005737,2.84e-05,0.0004861,1.256,0.2015,0.877,0.5566,9.85,7.43,3890.0,3868.0,3762.0,3956.0,3754.0,3774.0,3868.0,3826.0,3956.0,3826.0,3932.0,3972.0,3972.0,3972.0,3754.0,3762.0,3972.0,3972.0,3754.0,3972.0,3972.0,3912.0,3946.0,3976.0,3976.0,3976.0,3754.0,3936.0,3940.0,3940.0,3762.0,3890.0,3912.0,3858.0,3754.0,3774.0,3940.0,3940.0,3940.0,3956.0,3976.0,3976.0,3754.0,3804.0,3926.0,3976.0,3976.0,3754.0,3754.0,3754.0,3976.0,3976.0,3976.0,3976.0,3976.0,3754.0,3866.0,3888.0,3932.0,3972.0,3976.0,3816.0,3760.0,3754.0,3976.0,3890.0,3976.0,3976.0,3976.0,3976.0,3976.0,3754.0,3848.0,3976.0,3976.0,3754.0,3754.0,3932.0,3976.0,3976.0,3976.0,3976.0,3754.0,3754.0,3976.0,3976.0,3976.0,0.0
