like1_1,parlr_RRR,parRRR_factor,paralb_ice,paralb_snow,paralb_firn,paralbedo_aging,paralbedo_depth,parcenter_snow_transfer_function,parroughness_fresh_snow,parroughness_ice,simulation1_1,simulation1_2,simulation1_3,simulation1_4,simulation1_5,simulation2_1,chain
-258.0,0.000194,1.663,0.3396,0.8843,0.5195,21.6,3.443,0.3743,0.29,1.768,0.0,0.0,0.0,0.0,0.3396,1.042,1.0
-221.4,2.44e-05,1.243,0.1858,0.886,0.4517,16.92,4.56,0.828,1.398,1.198,0.0,0.0,0.0,0.0,0.3557,0.235,1.0
-165.1,7.77e-05,0.907,0.3208,0.8037,0.4563,14.766,3.705,1.223,0.3547,4.445,0.0,0.0,0.0,0.05817,0.3564,-0.582,1.0
-199.8,0.0001545,0.798,0.1809,0.8726,0.5415,18.12,6.855,0.2036,0.9824,0.9194,0.0,0.0,0.0,0.05817,0.4912,-0.576,1.0
-219.8,0.00012153,0.756,0.191,0.892,0.5933,19.55,4.523,0.2367,1.702,2.232,0.0,0.0,0.0,0.02379,0.4883,-0.5166,1.0
-258.0,0.000194,1.663,0.3396,0.8843,0.5195,21.6,3.443,0.3743,0.29,1.768,0.0,0.0,0.0,0.0,0.3396,1.042,1.0
-221.4,2.44e-05,1.243,0.1858,0.886,0.4517,16.92,4.56,0.828,1.398,1.198,0.0,0.0,0.0,0.0,0.3557,0.235,1.0
-165.1,7.77e-05,0.907,0.3208,0.8037,0.4563,14.766,3.705,1.223,0.3547,4.445,0.0,0.0,0.0,0.05817,0.3564,-0.582,1.0
-199.8,0.0001545,0.798,0.1809,0.8726,0.5415,18.12,6.855,0.2036,0.9824,0.9194,0.0,0.0,0.0,0.05817,0.4912,-0.576,1.0
-219.8,0.00012153,0.756,0.191,0.892,0.5933,19.55,4.523,0.2367,1.702,2.232,0.0,0.0,0.0,0.02379,0.4883,-0.5166,1.0
