like1,parlr_T,parlr_RRR,parlr_RH,parRRR_factor,paralb_ice,paralb_snow,paralb_firn,paralbedo_aging,paralbedo_depth,simulation_0,simulation_1,simulation_2,simulation_3,simulation_4,simulation_5,simulation_6,simulation_7,simulation_8,simulation_9,simulation_10,simulation_11,simulation_12,simulation_13,simulation_14,simulation_15,simulation_16,simulation_17,simulation_18,simulation_19,simulation_20,simulation_21,simulation_22,simulation_23,simulation_24,simulation_25,simulation_26,simulation_27,simulation_28,simulation_29,simulation_30,simulation_31,simulation_32,simulation_33,simulation_34,simulation_35,simulation_36,simulation_37,simulation_38,simulation_39,simulation_40,simulation_41,simulation_42,simulation_43,simulation_44,simulation_45,simulation_46,simulation_47,simulation_48,simulation_49,simulation_50,simulation_51,simulation_52,simulation_53,simulation_54,simulation_55,simulation_56,chain
-284.8,-0.00597,0.00010073,0.004646,1.523,0.2175,0.6665,0.637,22.38,7.043,4184.0,4284.0,4284.0,4284.0,4184.0,4284.0,4284.0,4336.0,4336.0,4336.0,4336.0,4336.0,4184.0,4284.0,4336.0,4336.0,4336.0,4136.0,4184.0,4236.0,4284.0,4336.0,4336.0,4336.0,4336.0,4184.0,4284.0,4284.0,4336.0,4336.0,4336.0,4336.0,3684.0,4236.0,4336.0,4236.0,4336.0,4336.0,4336.0,4336.0,4284.0,4084.0,4136.0,4184.0,4236.0,4136.0,4184.0,4284.0,4336.0,4336.0,4336.0,3736.0,4184.0,4236.0,4284.0,4336.0,4336.0,0.0
-298.0,-0.006084,9.48e-05,0.001415,1.542,0.2174,0.656,0.6455,21.16,7.25,4236.0,4284.0,4284.0,4336.0,4236.0,4336.0,4336.0,4336.0,4336.0,4336.0,4336.0,4336.0,4184.0,4336.0,4336.0,4336.0,4336.0,4184.0,4184.0,4236.0,4336.0,4336.0,4336.0,4336.0,4336.0,4236.0,4284.0,4336.0,4336.0,4336.0,4336.0,4336.0,3984.0,4236.0,4336.0,4236.0,4336.0,4336.0,4336.0,4336.0,4284.0,4084.0,4184.0,4236.0,4284.0,4184.0,4236.0,4284.0,4336.0,4336.0,4336.0,3736.0,4184.0,4284.0,4284.0,4336.0,4336.0,0.0
-284.0,-0.006447,9.924e-05,0.00988,1.532,0.2015,0.6636,0.64,19.81,6.37,4184.0,4284.0,4284.0,4284.0,4184.0,4284.0,4284.0,4336.0,4336.0,4336.0,4336.0,4336.0,4184.0,4284.0,4336.0,4336.0,4336.0,4136.0,4184.0,4236.0,4284.0,4336.0,4336.0,4336.0,4336.0,4184.0,4284.0,4284.0,4336.0,4336.0,4336.0,4336.0,3684.0,4236.0,4336.0,4236.0,4336.0,4336.0,4336.0,4336.0,4284.0,4084.0,4136.0,4184.0,4236.0,4136.0,4236.0,4284.0,4336.0,4336.0,4336.0,3784.0,4184.0,4236.0,4284.0,4336.0,4336.0,0.0
-270.5,-0.006386,9.143e-05,0.003382,1.538,0.2119,0.673,0.632,19.5,6.703,4136.0,4236.0,4284.0,4284.0,4184.0,4284.0,4284.0,4284.0,4284.0,4336.0,4336.0,4336.0,4136.0,4284.0,4336.0,4336.0,4336.0,4136.0,4136.0,4184.0,4284.0,4284.0,4336.0,4336.0,4336.0,4184.0,4236.0,4284.0,4284.0,4336.0,4336.0,4336.0,3684.0,4184.0,4284.0,4184.0,4284.0,4336.0,4336.0,4336.0,4236.0,4036.0,4136.0,4184.0,4236.0,4136.0,4184.0,4236.0,4336.0,4336.0,4336.0,3784.0,4136.0,4236.0,4284.0,4284.0,4336.0,0.0
-240.2,-0.006207,8.78e-05,0.000842,1.55,0.2029,0.681,0.635,18.47,6.625,4136.0,4184.0,4236.0,4236.0,4136.0,4236.0,4284.0,4284.0,4284.0,4284.0,4284.0,4284.0,4136.0,4236.0,4284.0,4284.0,4284.0,4084.0,4136.0,4184.0,4284.0,4284.0,4284.0,4284.0,4284.0,4136.0,4236.0,4236.0,4284.0,4284.0,4284.0,4284.0,3684.0,4136.0,4284.0,4184.0,4284.0,4284.0,4284.0,4284.0,4236.0,3984.0,4084.0,4136.0,4184.0,4084.0,4136.0,4184.0,4284.0,4284.0,4284.0,3784.0,4136.0,4184.0,4236.0,4284.0,4284.0,0.0
-231.5,-0.006138,0.00011903,0.000498,1.565,0.1833,0.6895,0.6357,18.17,6.72,4084.0,4184.0,4184.0,4236.0,4136.0,4236.0,4236.0,4236.0,4236.0,4284.0,4284.0,4284.0,4084.0,4184.0,4284.0,4284.0,4284.0,4084.0,4136.0,4136.0,4236.0,4284.0,4284.0,4284.0,4284.0,4136.0,4184.0,4236.0,4236.0,4284.0,4284.0,4284.0,3684.0,4136.0,4236.0,4136.0,4236.0,4284.0,4284.0,4284.0,4236.0,3936.0,4036.0,4136.0,4136.0,4084.0,4136.0,4184.0,4284.0,4284.0,4284.0,3736.0,4084.0,4136.0,4184.0,4236.0,4284.0,0.0
-241.0,-0.006508,0.0001082,0.01414,1.558,0.1908,0.687,0.6313,18.67,7.875,4136.0,4184.0,4236.0,4236.0,4136.0,4236.0,4236.0,4236.0,4284.0,4284.0,4284.0,4284.0,4084.0,4236.0,4284.0,4284.0,4284.0,4084.0,4136.0,4184.0,4236.0,4284.0,4284.0,4284.0,4284.0,4136.0,4184.0,4236.0,4284.0,4284.0,4284.0,4284.0,4036.0,4136.0,4284.0,4136.0,4236.0,4284.0,4284.0,4284.0,4284.0,3984.0,4084.0,4136.0,4184.0,4084.0,4136.0,4184.0,4284.0,4284.0,4284.0,3784.0,4136.0,4184.0,4236.0,4284.0,4284.0,0.0
-243.6,-0.006607,0.0001186,0.01507,1.567,0.1837,0.684,0.6274,17.2,7.83,4136.0,4184.0,4236.0,4236.0,4136.0,4236.0,4236.0,4284.0,4284.0,4284.0,4284.0,4284.0,4136.0,4236.0,4284.0,4284.0,4284.0,4084.0,4136.0,4184.0,4284.0,4284.0,4284.0,4284.0,4284.0,4136.0,4236.0,4236.0,4284.0,4284.0,4284.0,4284.0,4036.0,4136.0,4284.0,4184.0,4236.0,4284.0,4284.0,4284.0,4284.0,3984.0,4084.0,4136.0,4184.0,4084.0,4136.0,4184.0,4284.0,4284.0,4284.0,3784.0,4136.0,4184.0,4236.0,4284.0,4284.0,0.0
-226.6,-0.006557,6.47e-05,0.01839,1.563,0.1809,0.6885,0.6255,17.42,5.805,4084.0,4184.0,4184.0,4236.0,4084.0,4236.0,4236.0,4236.0,4284.0,4284.0,4284.0,4284.0,4036.0,4184.0,4284.0,4284.0,4284.0,4036.0,4084.0,4136.0,4236.0,4284.0,4284.0,4284.0,4284.0,4136.0,4184.0,4236.0,4284.0,4284.0,4284.0,4284.0,3684.0,4136.0,4284.0,4136.0,4236.0,4284.0,4284.0,4284.0,4184.0,3936.0,4036.0,4136.0,4136.0,4036.0,4084.0,4184.0,4284.0,4284.0,4284.0,3784.0,4036.0,4136.0,4184.0,4284.0,4284.0,0.0
-176.0,-0.00651,6.32e-05,0.0003166,1.5625,0.1814,0.713,0.6235,17.72,5.77,3984.0,4084.0,4136.0,4136.0,3984.0,4136.0,4136.0,4136.0,4184.0,4184.0,4184.0,4184.0,3936.0,4084.0,4184.0,4184.0,4236.0,3936.0,3984.0,4036.0,4184.0,4184.0,4236.0,4236.0,4236.0,3984.0,4136.0,4136.0,4184.0,4184.0,4236.0,4236.0,3684.0,3984.0,4184.0,4036.0,4136.0,4184.0,4236.0,4236.0,4136.0,3884.0,3936.0,3984.0,4084.0,3936.0,4036.0,4084.0,4184.0,4184.0,4236.0,3784.0,3936.0,4036.0,4136.0,4184.0,4236.0,0.0
